#From Jouzel et al. (Science, 2007)
#Extrapolated for depths <=6.05 m
#Excess extrapolated for depth>=2151.6 m
#depth-top (m)	d18O (pm)	deut (pm)	d18OSW (pm)
704	-55.1	-434.8	1.3073578356613
704.55	-53.6	-423.4	1.30547558481685
705.1	-53.3	-420.5	1.30384003851403
705.65	-54.6	-430.4	1.30232729325981
706.2	-54.7	-431.1	1.30062394569878
706.75	-54.8	-433.4	1.29885075006466
707.3	-53.6	-422.5	1.29699523210787
707.85	-54.6	-431.3	1.29533428183939
708.4	-54.1	-425.3	1.29339357788898
708.95	-54.4	-427	1.29158615126528
709.5	-54.6	-429.8	1.28984472681086
710.05	-54.3	-427.3	1.2880630267493
710.6	-54.2	-425.9	1.2863146992764
711.15	-54.1	-426	1.28457204027809
711.7	-54.0	-425.6	1.28282653822743
712.25	-54.4	-428.5	1.28112839344927
712.8	-54.7	-430.7	1.27937030006336
713.35	-55.0	-432.8	1.2775153292804
713.9	-53.9	-424.4	1.27557480711424
714.45	-54.3	-428.9	1.27382734209165
715	-54.3	-427.1	1.27201561195799
715.55	-54.1	-426.3	1.27024162338127
716.1	-55.4	-434.3	1.26854960185483
716.65	-54.4	-428.8	1.26670469102561
717.2	-53.9	-423.2	1.26495617913963
717.75	-55.4	-436	1.2632993770065
718.3	-55.1	-434	1.26137370938645
718.85	-55.3	-436.9	1.25953217661289
719.4	-55.3	-436	1.25762493836279
719.95	-55.2	-435.5	1.25599521923101
720.5	-55.5	-436.9	1.25439267286681
721.05	-55.3	-435.5	1.25283318208312
721.6	-55.3	-435.9	1.25132101542036
722.15	-56.1	-441.9	1.25001895235949
722.7	-56.3	-443	1.24878144781195
723.25	-56.1	-442.4	1.24776934102753
723.8	-55.3	-436.8	1.2469719737036
724.35	-56.3	-443.3	1.24627264407045
724.9	-55.2	-434.7	1.24556685952008
725.45	-55.8	-438.7	1.24502623044466
726	-55.2	-434.2	1.24459642023147
726.55	-55.3	-436.5	1.24422595435893
727.1	-54.8	-430.9	1.24394662349436
727.65	-55.4	-437.3	1.24368525412632
728.2	-55.1	-434.2	1.24340302194966
728.75	-54.9	-433.3	1.24313093730633
729.3	-55.8	-439.6	1.2431
729.85	-55.6	-439	1.2431
730.4	-55.6	-438.3	1.24328103739436
730.95	-54.5	-430.9	1.24351952191893
731.5	-54.9	-433	1.24368275651948
732.05	-54.6	-431.3	1.24381716788751
732.6	-55.7	-439.1	1.24396522515319
733.15	-55.9	-441.2	1.24415809521814
733.7	-55.8	-440.2	1.2444398043162
734.25	-55.7	-440.1	1.24492864991578
734.8	-55.8	-440.8	1.24538194242587
735.35	-55.4	-438.4	1.24572680369852
735.9	-55.2	-436.7	1.24612405246828
736.45	-56.2	-444.3	1.24678122784975
737	-55.3	-436.8	1.24750825299183
737.55	-55.3	-436	1.24821363946046
738.1	-54.9	-434.5	1.24891754729897
738.65	-54.6	-433.3	1.24987892645983
739.2	-55.6	-439.4	1.25082691981656
739.75	-54.6	-431.7	1.25192748583103
740.3	-54.0	-426.5	1.25294674083951
740.85	-54.9	-433.2	1.2540101445756
741.4	-54.9	-433.4	1.25522902307452
741.95	-55.1	-434.9	1.25645118771915
742.5	-55.8	-439.4	1.25769581898554
743.05	-54.0	-427.8	1.25902104668235
743.6	-55.6	-441	1.26020767205088
744.15	-55.0	-434.7	1.26159729261461
744.7	-55.9	-440.4	1.26288666333279
745.25	-55.0	-435.7	1.26426728743173
745.8	-55.5	-437.3	1.26570940942525
746.35	-55.9	-441.9	1.26718340708071
746.9	-55.4	-438.2	1.26861134710087
747.45	-55.8	-440.9	1.26995798126855
748	-55.8	-440.5	1.27126710840303
748.55	-55.8	-440.6	1.27255322434628
749.1	-56.2	-442.5	1.27376120680793
749.65	-55.8	-442.4	1.27497789117848
750.2	-55.5	-437.4	1.27602794222641
750.75	-56.0	-441.5	1.27698259530543
751.3	-54.8	-433.2	1.27810329437776
751.85	-55.4	-437.2	1.27914815570328
752.4	-55.6	-438.3	1.28021212041605
752.95	-54.8	-433.3	1.2812750054866
753.5	-54.8	-433.4	1.28217177875893
754.05	-54.9	-434.7	1.28299247874353
754.6	-55.8	-438.9	1.28386248676389
755.15	-54.7	-430.8	1.2848367808618
755.7	-55.7	-439.3	1.28567720832667
756.25	-55.0	-433.8	1.28646079408939
756.8	-55.2	-435.8	1.28720662652048
757.35	-55.0	-432.6	1.28805253906054
757.9	-54.4	-428.6	1.2888669637782
758.45	-54.4	-430.5	1.2896849320372
759	-54.6	-430.2	1.29052376829468
759.55	-54.7	-431.3	1.29138929472367
760.1	-54.3	-427.8	1.29228123222511
760.65	-54.4	-429.1	1.29312005407289
761.2	-55.0	-433.2	1.29394587330915
761.75	-54.5	-429.1	1.29481931789358
762.3	-55.5	-436.4	1.29568906855903
762.85	-55.4	-435.8	1.29663827265633
763.4	-54.2	-426.9	1.29749285990469
763.95	-54.4	-429.7	1.29825595970266
764.5	-54.7	-432.3	1.29907551822233
765.05	-55.2	-435.6	1.29993517101883
765.6	-55.4	-436.6	1.30073919685829
766.15	-54.7	-432.4	1.30145407089431
766.7	-54.9	-433.6	1.30210297327065
767.25	-55.2	-435.1	1.30270111272749
767.8	-54.7	-431.5	1.30326784767152
768.35	-55.7	-438.8	1.30362704762012
768.9	-55.8	-440.4	1.3040166949722
769.45	-55.3	-436.4	1.30436644923034
770	-55.2	-435.9	1.3047
770.55	-56.0	-440.8	1.3047
771.1	-55.8	-440.3	1.3046481883652
771.65	-55.4	-438.2	1.30446813173385
772.2	-56.0	-441.3	1.30411327284797
772.75	-56.0	-441	1.30362704696242
773.3	-55.8	-439	1.30291360835359
773.85	-55.5	-436.6	1.30212172768644
774.4	-54.7	-430.5	1.30114394429427
774.95	-55.2	-434.1	1.3002345460633
775.5	-55.9	-440.8	1.29928493638293
776.05	-55.5	-438.2	1.29812466995589
776.6	-55.7	-439.2	1.29694833607322
777.15	-55.3	-435.8	1.29570062393046
777.7	-55.0	-433.8	1.29446432895008
778.25	-55.2	-435.9	1.29318240000321
778.8	-55.1	-435.2	1.29202679077523
779.35	-55.0	-435.1	1.29100607333738
779.9	-55.1	-433.8	1.28989588196365
780.45	-55.1	-434.3	1.28878194277778
781	-55.1	-434.9	1.28777130120662
781.55	-54.6	-431.4	1.28676683061575
782.1	-54.6	-431.1	1.28584430855264
782.65	-54.3	-428.1	1.28494690046565
783.2	-54.6	-430.6	1.28411172585146
783.75	-54.6	-430.4	1.28322295096833
784.3	-54.6	-429.9	1.28231037299484
784.85	-54.3	-427.9	1.28143809530877
785.4	-54.6	-429.1	1.28060399452576
785.95	-54.3	-427.4	1.27963718026738
786.5	-54.7	-430.2	1.27865203939713
787.05	-54.5	-429.8	1.27758750883311
787.6	-53.4	-419.9	1.27651979371115
788.15	-54.8	-430.7	1.27533854750922
788.7	-54.0	-425.5	1.27398829810839
789.25	-54.4	-428.5	1.2726686409577
789.8	-53.4	-420.9	1.27128135347659
790.35	-54.0	-424.4	1.26979117669283
790.9	-53.4	-420.4	1.26823495773874
791.45	-54.2	-426	1.26670502724376
792	-52.6	-413.7	1.26506497939451
792.55	-53.2	-419.1	1.26347524329123
793.1	-53.9	-424.5	1.26177918270554
793.65	-54.7	-429.5	1.25992717759546
794.2	-53.7	-423.1	1.25795248510408
794.75	-53.3	-419.7	1.25603187208658
795.3	-54.2	-426.6	1.2541792320025
795.85	-54.2	-426.2	1.25207809646816
796.4	-53.9	-425	1.24997214056875
796.95	-54.0	-425.4	1.24780266930222
797.5	-53.4	-422.5	1.24561393280639
798.05	-53.6	-422.6	1.24340619741129
798.6	-52.7	-417.3	1.24119007923808
799.15	-52.6	-415.6	1.23910942246245
799.7	-52.3	-412.3	1.2370701614148
800.25	-53.4	-422.1	1.23517109652366
800.8	-53.4	-421.3	1.23306440054441
801.35	-53.4	-418.5	1.2310057480915
801.9	-53.4	-422.3	1.22903382133493
802.45	-53.0	-419.7	1.2268963932923
803	-54.2	-427.8	1.22475227548108
803.55	-53.9	-427.2	1.2224146639887
804.1	-54.4	-429.5	1.22012090905128
804.65	-53.6	-423.5	1.21770204929479
805.2	-53.9	-426.9	1.2154067346795
805.75	-54.1	-426.9	1.21295133213028
806.3	-53.8	-425.3	1.21045600790734
806.85	-54.3	-428.8	1.20804266771238
807.4	-54.3	-429.1	1.2055422757205
807.95	-53.8	-425.7	1.20303242325312
808.5	-54.2	-426.9	1.20062203335625
809.05	-53.0	-418	1.19822166800279
809.6	-54.3	-428.3	1.19606908756921
810.15	-54.1	-428.1	1.19367938471595
810.7	-54.6	-431.2	1.19130301799527
811.25	-54.2	-427.8	1.18899423195049
811.8	-54.6	-430.1	1.18680415073366
812.35	-54.2	-428.7	1.18474799741033
812.9	-54.6	-430.3	1.18271312661512
813.45	-54.8	-431.5	1.18059716379511
814	-53.9	-425.7	1.17851569578068
814.55	-53.9	-425.9	1.17666629437562
815.1	-54.6	-431.1	1.17491083038047
815.65	-55.0	-434.3	1.17315690639644
816.2	-54.1	-428.2	1.17144367443233
816.75	-54.7	-431.8	1.16990779091841
817.3	-56.0	-442.1	1.16852762272694
817.85	-55.2	-435.9	1.16703387020168
818.4	-55.1	-436.5	1.16569785036031
818.95	-55.8	-439.7	1.16439967307755
819.5	-55.3	-436	1.16312284580206
820.05	-54.9	-432.2	1.1621150629037
820.6	-55.3	-436.3	1.16122531157036
821.15	-54.4	-429.1	1.16046127222922
821.7	-54.1	-428.1	1.15976442027475
822.25	-54.5	-429.1	1.15907574197356
822.8	-54.7	-432.2	1.15842976586849
823.35	-54.7	-430.3	1.15787328351035
823.9	-55.6	-439.5	1.1574104438388
824.45	-55.0	-433.7	1.15698531664341
825	-54.6	-429.9	1.1566775530842
825.55	-55.7	-438.3	1.15640669642127
826.1	-55.5	-437.4	1.15622433658173
826.65	-54.7	-430.8	1.1561178164584
827.2	-54.6	-430.4	1.15617259598304
827.75	-54.2	-427.5	1.15622712219302
828.3	-55.2	-433.8	1.15627980036871
828.85	-55.0	-434.4	1.15648300629537
829.4	-55.1	-433.9	1.15676909254383
829.95	-55.7	-437.4	1.15720562498567
830.5	-54.9	-432	1.15773029896629
831.05	-55.6	-436.7	1.15845341076821
831.6	-55.0	-434.2	1.15934080595539
832.15	-55.6	-438.8	1.16036896234486
832.7	-54.9	-432.5	1.16153923065794
833.25	-55.5	-436.2	1.16265898094536
833.8	-54.7	-431.3	1.16433771738344
834.35	-54.2	-428.8	1.16591533989425
834.9	-55.1	-433.6	1.16736227692909
835.45	-55.1	-433.1	1.16900489973402
836	-53.9	-424.9	1.17081061287018
836.55	-55.2	-434.6	1.17241853045872
837.1	-55.2	-434.4	1.17419990999172
837.65	-53.9	-426.1	1.1761105706526
838.2	-55.3	-434.4	1.1778762958588
838.75	-55.0	-433.3	1.17971878593328
839.3	-55.6	-437.5	1.18148901751665
839.85	-54.6	-430.7	1.18315582887306
840.4	-54.2	-428.2	1.18461864954449
840.95	-54.7	-430.1	1.18595077587073
841.5	-54.1	-427.3	1.18715081587938
842.05	-54.5	-430.5	1.18820521541911
842.6	-55.1	-433.6	1.18910054003278
843.15	-54.9	-433.4	1.18995318072834
843.7	-54.6	-430.7	1.19048229415456
844.25	-54.7	-430.7	1.19092550387013
844.8	-53.6	-422.1	1.19109024993175
845.35	-54.7	-431.4	1.19121297579709
845.9	-54.8	-433	1.19126835664495
846.45	-55.6	-437.1	1.19125038425195
847	-54.1	-425.8	1.19113181313453
847.55	-54.5	-430.5	1.19088460305335
848.1	-55.2	-433.3	1.19055581336059
848.65	-54.3	-427.9	1.19016847190405
849.2	-55.0	-433.4	1.18979608641783
849.75	-55.0	-432.6	1.18934219911363
850.3	-54.5	-428.5	1.18889260678135
850.85	-54.6	-428.6	1.18846447212586
851.4	-55.4	-435.5	1.18795371143155
851.95	-54.9	-432.7	1.18725550025172
852.5	-55.0	-432.7	1.18661522320923
853.05	-54.8	-431.7	1.18599623892221
853.6	-54.8	-430.1	1.18519718349048
854.15	-54.8	-430.5	1.1843817249536
854.7	-54.8	-429	1.18366916403359
855.25	-55.1	-431.7	1.18292901986763
855.8	-54.5	-428	1.18198376696348
856.35	-54.3	-426.9	1.1810604981077
856.9	-53.9	-424.2	1.18011538412498
857.45	-55.1	-432.9	1.1791336240484
858	-54.6	-427.8	1.17794911562441
858.55	-55.0	-432.5	1.17683457482423
859.1	-54.1	-425	1.17565571112486
859.65	-54.4	-428.2	1.17442120428327
860.2	-53.4	-421.2	1.17308802151829
860.75	-54.7	-429.2	1.1719032524917
861.3	-54.2	-425.9	1.17060802751211
861.85	-54.1	-424.1	1.16917331028729
862.4	-52.9	-415.9	1.16775147281379
862.95	-54.2	-426.5	1.16637381714019
863.5	-53.4	-419.7	1.16480614607847
864.05	-54.1	-425.7	1.16336071132021
864.6	-55.0	-432	1.16180794585852
865.15	-54.2	-426.2	1.16023830191805
865.7	-54.7	-429.5	1.1587803816078
866.25	-54.2	-426.2	1.15726388074499
866.8	-54.4	-428.8	1.15580596390144
867.35	-53.8	-424.7	1.15430208648482
867.9	-53.7	-422.2	1.15288540285103
868.45	-54.6	-430.6	1.15154511355765
869	-53.8	-424.1	1.15010319496069
869.55	-54.1	-426.4	1.14883371741873
870.1	-53.5	-419.9	1.14757458867898
870.65	-54.4	-428.6	1.14646378643801
871.2	-54.0	-424.9	1.14533029567376
871.75	-52.8	-415.8	1.14435623607415
872.3	-53.9	-424.9	1.14352640297993
872.85	-54.1	-425.3	1.14265487632244
873.4	-54.4	-428	1.14177917292623
873.95	-54.5	-429.2	1.14087472540966
874.5	-54.1	-426.2	1.14005296276188
875.05	-52.5	-413.6	1.13932386519195
875.6	-53.7	-422.7	1.13872536672111
876.15	-54.1	-425.3	1.13807596961245
876.7	-53.2	-418.6	1.13749696661251
877.25	-53.4	-420.6	1.13702123091953
877.8	-53.2	-418.3	1.13653396831955
878.35	-53.4	-419.2	1.13605987222489
878.9	-53.0	-417.8	1.13564643668555
879.45	-53.1	-417.6	1.1353165017662
880	-53.3	-418	1.13490685541818
880.55	-53.5	-419.8	1.13433982705988
881.1	-54.1	-425.2	1.13379533337013
881.65	-54.1	-425.9	1.13333183076228
882.2	-54.0	-424.6	1.13290960539806
882.75	-54.8	-431.3	1.13260276905864
883.3	-54.4	-429.4	1.13229196690433
883.85	-54.3	-428.1	1.13202115435017
884.4	-53.5	-421.3	1.1317835975395
884.95	-54.0	-425.6	1.13158689832694
885.5	-53.5	-421.3	1.13143991553006
886.05	-54.3	-427.2	1.13134155923485
886.6	-54.3	-425.6	1.13136397820212
887.15	-54.4	-428.1	1.13146752244043
887.7	-54.3	-427.1	1.13153710361681
888.25	-54.7	-430	1.13158981480428
888.8	-53.5	-422	1.13168876945165
889.35	-53.8	-423.8	1.13178797157997
889.9	-53.7	-423	1.13197866402787
890.45	-53.7	-420.5	1.13217946500687
891	-54.9	-430.3	1.13246155252959
891.55	-54.7	-429.5	1.13279020394421
892.1	-54.5	-429.2	1.1330104952807
892.65	-54.9	-432.5	1.13322675298987
893.2	-55.0	-432.5	1.13345170833324
893.75	-54.4	-428.8	1.13373417534285
894.3	-55.2	-433.8	1.13411086336437
894.85	-55.3	-435.5	1.13436020999605
895.4	-55.1	-432.3	1.13447680833986
895.95	-55.1	-432.4	1.1345890468528
896.5	-53.8	-423.6	1.13469928504039
897.05	-54.4	-427.6	1.13464869251807
897.6	-54.6	-428.6	1.13459124100073
898.15	-54.0	-424.8	1.13448381215944
898.7	-53.7	-422.7	1.13438113831781
899.25	-54.5	-429.6	1.13428099713623
899.8	-54.5	-428.9	1.13415837129918
900.35	-53.8	-424.2	1.13399658920274
900.9	-54.7	-430.3	1.13380603372475
901.45	-54.7	-429.1	1.13353180089767
902	-54.1	-426	1.13331686591826
902.55	-54.5	-427.5	1.13316053010953
903.1	-55.2	-434.9	1.133165763651
903.65	-54.6	-428.7	1.13328169283662
904.2	-54.5	-428.6	1.1333
904.75	-54.5	-428.8	1.1333
905.3	-54.6	-431.1	1.1335094585288
905.85	-54.9	-432.2	1.13373111762008
906.4	-55.3	-435.5	1.13395573715526
906.95	-55.8	-438	1.13423413132388
907.5	-54.9	-431.9	1.13459533568183
908.05	-54.9	-432.1	1.13500830197725
908.6	-55.5	-436.8	1.13545730104321
909.15	-55.7	-438.3	1.135878255254
909.7	-54.6	-428.4	1.13630145157158
910.25	-56.1	-440.1	1.13667753606238
910.8	-55.0	-432.2	1.13714007737527
911.35	-54.8	-431.7	1.1375899844217
911.9	-54.4	-427	1.13795296599015
912.45	-54.7	-429.2	1.13827019114184
913	-55.6	-436.5	1.13859591222375
913.55	-54.4	-427.7	1.13892567598155
914.1	-54.8	-429.9	1.13908569918165
914.65	-54.7	-430.5	1.13921666939078
915.2	-54.8	-431.2	1.13927184193588
915.75	-54.3	-427.7	1.1393
916.3	-54.3	-426.6	1.1393
916.85	-55.1	-433.6	1.13919934341507
917.4	-54.4	-427	1.13902747548383
917.95	-54.9	-431	1.13873721690706
918.5	-54.4	-426	1.13840389777302
919.05	-54.3	-424.6	1.13814154226416
919.6	-54.5	-427.2	1.13788096767806
920.15	-53.6	-419.7	1.13756230432794
920.7	-54.7	-428.8	1.13728059595219
921.25	-54.3	-425.3	1.13706399903002
921.8	-54.3	-426	1.1369
922.35	-53.8	-422.1	1.1369
922.9	-53.5	-418.9	1.13692666084224
923.45	-54.1	-423.7	1.13702293870546
924	-53.3	-417.5	1.13716227096571
924.55	-53.7	-421.9	1.13739903970151
925.1	-53.7	-421.2	1.13769722262929
925.65	-55.4	-434.6	1.13819227852409
926.2	-54.3	-427.7	1.13885993995593
926.75	-54.0	-423.5	1.1396626572525
927.3	-53.7	-422.2	1.14055670977552
927.85	-54.3	-426.3	1.14160937895034
928.4	-54.4	-427.4	1.14276410811951
928.95	-53.7	-422.6	1.14399132324878
929.5	-53.3	-419	1.14520696567829
930.05	-54.5	-429.4	1.14641406726215
930.6	-54.8	-430.7	1.14784347453898
931.15	-54.7	-428.6	1.14934312676262
931.7	-54.1	-425	1.15084688362138
932.25	-54.1	-424.8	1.1523003155915
932.8	-53.9	-423.4	1.15383987816444
933.35	-54.1	-424.2	1.15536823629196
933.9	-53.4	-419	1.15691155017985
934.45	-54.5	-427	1.1583622428562
935	-53.5	-419.2	1.15995861543661
935.55	-54.0	-423.4	1.16141332185324
936.1	-52.7	-413.9	1.16289501055729
936.65	-53.9	-423.7	1.16421550480539
937.2	-53.2	-417.6	1.16570016794745
937.75	-53.1	-416.9	1.1670808164523
938.3	-53.7	-422.6	1.16852955946616
938.85	-53.6	-421.4	1.17009679312043
939.4	-54.2	-426	1.17164202976329
939.95	-53.0	-416.3	1.17327480864898
940.5	-52.6	-414.9	1.17468967066571
941.05	-53.4	-418.5	1.17607420271462
941.6	-53.4	-420	1.17765578661779
942.15	-53.6	-421.2	1.1793240652011
942.7	-53.0	-416.6	1.18111527483742
943.25	-53.7	-422.9	1.18285920765972
943.8	-53.8	-422.1	1.18473972074617
944.35	-53.8	-423.8	1.18660271644618
944.9	-53.5	-422	1.18876465537071
945.45	-53.7	-422.7	1.19102862584025
946	-53.6	-422.1	1.19327843238181
946.55	-53.7	-421.5	1.19549558780028
947.1	-53.4	-419.7	1.19779943317359
947.65	-53.3	-419.4	1.20010174968481
948.2	-54.6	-429.8	1.20252361924497
948.75	-52.6	-414.3	1.20534310301843
949.3	-53.8	-424.2	1.2077528893362
949.85	-54.1	-424.8	1.21049456932242
950.4	-54.9	-431.1	1.21325671549561
950.95	-53.8	-423.8	1.2162354322995
951.5	-53.0	-416	1.21901094486868
952.05	-54.1	-424.9	1.22154663969861
952.6	-54.2	-426.5	1.22423583869367
953.15	-53.9	-424.3	1.2269519715185
953.7	-53.7	-422.2	1.2295494351502
954.25	-54.8	-430.1	1.23208045461995
954.8	-54.6	-428.6	1.23491781273251
955.35	-53.3	-419	1.23763651861503
955.9	-53.7	-422.5	1.23978210316331
956.45	-53.9	-422.6	1.24201031089479
957	-53.6	-421.4	1.24420041813885
957.55	-54.8	-430.8	1.2463492719627
958.1	-54.2	-425.2	1.24870974931461
958.65	-54.3	-427.8	1.25082078496188
959.2	-54.5	-427.1	1.2528282026985
959.75	-54.6	-430.6	1.25490212347024
960.3	-55.0	-431.1	1.25714731174758
960.85	-54.6	-428.6	1.25924583520496
961.4	-54.5	-427	1.26121966951045
961.95	-55.0	-432	1.26344927210057
962.5	-54.6	-428.9	1.26584836289105
963.05	-54.1	-424.5	1.26816072013955
963.6	-54.9	-430.6	1.27038159337077
964.15	-54.4	-427.4	1.27285464871013
964.7	-53.9	-423.4	1.27514132114199
965.25	-53.7	-421.7	1.27720514806205
965.8	-54.8	-430.4	1.27917649458403
966.35	-54.5	-428.5	1.28130881020157
966.9	-54.8	-430.5	1.28332034069956
967.45	-55.0	-432.2	1.28534359721858
968	-54.3	-427.1	1.28745896280232
968.55	-54.1	-425.7	1.28944799563221
969.1	-54.7	-429.8	1.29130654255406
969.65	-55.1	-433.7	1.29321937082758
970.2	-54.1	-425.5	1.29508960221658
970.75	-54.7	-429.8	1.29671208126669
971.3	-54.5	-428.1	1.29833048114095
971.85	-54.8	-429.5	1.29984660387191
972.4	-54.8	-430.9	1.30134871990969
972.95	-54.9	-431.3	1.30282925975253
973.5	-54.6	-429	1.30429960880021
974.05	-55.5	-435.7	1.30562788522751
974.6	-55.1	-432.6	1.30698927811208
975.15	-54.6	-428.7	1.30814536943015
975.7	-55.0	-431.6	1.30905440375484
976.25	-55.2	-433.6	1.3098544697088
976.8	-55.1	-432.1	1.31081852097484
977.35	-54.9	-430.5	1.3117906750179
977.9	-55.0	-432.7	1.3126937947744
978.45	-55.2	-433.6	1.31362118379756
979	-55.5	-437.2	1.31455882899036
979.55	-55.5	-436.3	1.31553789903696
980.1	-56.1	-440.7	1.31650548627676
980.65	-55.4	-436	1.31733534554613
981.2	-55.2	-434.6	1.31814474888191
981.75	-55.4	-435.3	1.31897609866586
982.3	-55.3	-436.1	1.31972683299275
982.85	-55.7	-438.6	1.32043070308379
983.4	-56.0	-440.2	1.32086700000257
983.95	-55.7	-438.4	1.32122102803329
984.5	-54.8	-430.4	1.32146984482364
985.05	-56.0	-440.5	1.32145098930877
985.6	-56.1	-440.4	1.32132308339107
986.15	-56.0	-440.1	1.32094061161829
986.7	-55.8	-438.2	1.32031886264388
987.25	-55.5	-436.4	1.31955353957316
987.8	-56.4	-442.1	1.31827654735731
988.35	-56.6	-443.9	1.31696561307503
988.9	-55.9	-438.6	1.31570151491929
989.45	-55.8	-437.5	1.31388634373026
990	-57.1	-448.3	1.31201769505166
990.55	-56.5	-442.7	1.30984268339135
991.1	-56.5	-442.4	1.30764416864905
991.65	-56.4	-443.6	1.30552002098401
992.2	-56.1	-440.8	1.30359519936711
992.75	-56.5	-442.9	1.30193558814017
993.3	-56.2	-441.4	1.30024013787201
993.85	-56.1	-440.1	1.29842877548938
994.4	-55.8	-438	1.29664494936342
994.95	-54.5	-427	1.29491190481089
995.5	-54.3	-427.9	1.29344022375169
996.05	-55.6	-437.1	1.29203524479848
996.6	-54.3	-426.7	1.29068188713562
997.15	-56.0	-440.3	1.28951874550736
997.7	-55.3	-434.3	1.28817605746497
998.25	-55.4	-434.2	1.28692592896892
998.8	-54.7	-429.7	1.2856462820422
999.35	-55.0	-431.7	1.28434973298427
999.9	-55.8	-438.3	1.28313957144809
1000.45	-56.4	-441.6	1.28195222270139
1001	-55.8	-437.4	1.28071691404779
1001.55	-56.1	-439.8	1.2795983404189
1002.1	-56.5	-443.1	1.27857978388283
1002.65	-56.0	-439.4	1.27708138288353
1003.2	-55.6	-436.6	1.27552108220012
1003.75	-56.2	-440.1	1.27411093028676
1004.3	-56.3	-441.9	1.272453417779
1004.85	-55.9	-437.6	1.27063192569455
1005.4	-56.3	-442.7	1.26907966271927
1005.95	-55.6	-437	1.26746036683166
1006.5	-56.5	-443.3	1.26598010205257
1007.05	-56.1	-441.3	1.26420679708169
1007.6	-56.0	-440.2	1.26257274729378
1008.15	-56.2	-440.6	1.26116195643941
1008.7	-55.2	-433.5	1.25953389283649
1009.25	-55.3	-433.5	1.25799400129852
1009.8	-56.8	-446	1.25645372987265
1010.35	-55.7	-437.4	1.25482434212722
1010.9	-56.2	-441.5	1.25344875672176
1011.45	-55.9	-439.3	1.25168764591781
1012	-56.3	-442.2	1.25009446457384
1012.55	-56.7	-443.9	1.24858092188287
1013.1	-56.0	-440.1	1.24709961990671
1013.65	-56.6	-444.8	1.24579847790659
1014.2	-55.8	-438.1	1.24457571628274
1014.75	-56.2	-441.4	1.24373926111822
1015.3	-56.5	-443.6	1.24300977273455
1015.85	-56.6	-445	1.24247371833185
1016.4	-56.1	-440.1	1.24198747888944
1016.95	-56.4	-443.2	1.24165356870266
1017.5	-56.7	-445	1.2415201332498
1018.05	-56.6	-444.4	1.24161622114442
1018.6	-56.2	-442.5	1.24200973662142
1019.15	-56.7	-446.4	1.24280404628101
1019.7	-56.2	-442.7	1.24339089214875
1020.25	-56.3	-442.2	1.24397732286427
1020.8	-56.1	-440.5	1.24463718047349
1021.35	-56.4	-441.8	1.24569259477019
1021.9	-55.5	-434.6	1.24680934708605
1022.45	-56.8	-445.9	1.24783427446356
1023	-56.0	-439.6	1.24916753347837
1023.55	-55.8	-438.3	1.25048267397294
1024.1	-56.4	-442.9	1.25186958299649
1024.65	-56.5	-443	1.25328796184673
1025.2	-55.8	-438.6	1.25467491459356
1025.75	-56.2	-441.7	1.25594084238987
1026.3	-56.6	-445.4	1.25725476036427
1026.85	-56.1	-440.6	1.25863981690576
1027.4	-56.6	-444.1	1.26000218717799
1027.95	-56.5	-443.3	1.26085165029985
1028.5	-56.6	-444.4	1.26133298024478
1029.05	-56.0	-440.9	1.26153680659024
1029.6	-56.2	-441.2	1.26151176925913
1030.15	-56.7	-444.2	1.26133316933682
1030.7	-56.0	-440.5	1.26085831322829
1031.25	-55.2	-434.6	1.2604038492558
1031.8	-56.5	-442.5	1.2599716805401
1032.35	-56.5	-442.6	1.25930638851463
1032.9	-56.5	-443.8	1.25849616297225
1033.45	-55.0	-430.5	1.25753168089232
1034	-56.4	-441.1	1.25643542345245
1034.55	-56.2	-439.5	1.25511055575601
1035.1	-55.9	-437.5	1.25369643767241
1035.65	-56.6	-442.3	1.2522614485426
1036.2	-56.8	-445.8	1.25046739430335
1036.75	-56.8	-445.1	1.24797054531829
1037.3	-56.7	-443.9	1.24525967326014
1037.85	-55.4	-434.7	1.24244044592849
1038.4	-55.6	-436.2	1.23976485339254
1038.95	-55.3	-435.5	1.23689272612682
1039.5	-55.1	-433.5	1.23396323597604
1040.05	-55.6	-436.9	1.23090299941005
1040.6	-55.4	-434.6	1.22754971433963
1041.15	-56.0	-439.7	1.22414273916332
1041.7	-55.6	-436.9	1.22034498627288
1042.25	-56.7	-444.7	1.2167164811604
1042.8	-56.3	-441.9	1.21286902258836
1043.35	-56.5	-441.7	1.20925940410218
1043.9	-57.0	-446.5	1.20588121453932
1044.45	-56.3	-441.3	1.20271914750524
1045	-57.0	-446.3	1.19945155860669
1045.55	-56.3	-440.7	1.19594415823741
1046.1	-56.6	-443.6	1.19266246398187
1046.65	-56.4	-442.2	1.18913857659622
1047.2	-56.6	-441.6	1.18586868756913
1047.75	-55.3	-431.7	1.18288022456731
1048.3	-56.4	-439.2	1.18038906270001
1048.85	-56.4	-441.1	1.17767679442676
1049.4	-56.0	-438.3	1.17490137310413
1049.95	-55.1	-429.6	1.17221629270802
1050.5	-55.4	-433.7	1.16978802995278
1051.05	-55.1	-431.8	1.16718416765074
1051.6	-55.7	-435.9	1.16471892942328
1052.15	-56.0	-436.7	1.1622306047473
1052.7	-55.3	-433.2	1.15966549756935
1053.25	-55.4	-434.4	1.15712018917879
1053.8	-55.1	-432.3	1.15424540604611
