#From Jouzel et al. (Science, 2007)
#Extrapolated for depths <=6.05 m
#Excess extrapolated for depth>=2151.6 m
#depth-top (m)	d18O (pm)	deut (pm)	d18OSW (pm)
75.9	-50.5	-393.8	0.01259079505566
76.45	-51.3	-400.8	0.01292801738644
77	-51.1	-399.3	0.01329540296176
77.55	-50.6	-396.6	0.01365701776003
78.1	-50.5	-395.3	0.01400788202307
78.65	-50.2	-392.6	0.01435404542498
79.2	-51.7	-404.4	0.01468990307537
79.75	-50.7	-394.4	0.01507733710125
80.3	-51.4	-402.2	0.0154218498125
80.85	-51.5	-401.9	0.01580072026563
81.4	-50.2	-393.8	0.01617896365535
81.95	-51.4	-402.3	0.01652299860367
82.5	-49.4	-385.1	0.01690449497811
83.05	-50.7	-395.9	0.01721575507012
83.6	-50.6	-395.8	0.01757050188698
84.15	-50.9	-398.2	0.01792547219341
84.7	-50.6	-394.8	0.01829141958489
85.25	-50.8	-397.7	0.01864343826969
85.8	-51.3	-400.3	0.01900850124893
86.35	-51.3	-402.4	0.01937274339976
86.9	-50.3	-396	0.0197426060936
87.45	-51.4	-401.4	0.02008584810103
88	-49.6	-386.1	0.02045256453807
88.55	-51.2	-400.1	0.0207585687815
89.1	-51.1	-400.3	0.02112083465023
89.65	-50.3	-393.2	0.02145745716038
90.2	-51.1	-399.7	0.02176028316745
90.75	-50.9	-397.9	0.02208806490905
91.3	-51.5	-402	0.02240938357134
91.85	-51.0	-398.7	0.02274734655506
92.4	-50.9	-398.6	0.02307275459297
92.95	-50.4	-394.6	0.02336687275536
93.5	-50.0	-390.6	0.02364496020499
94.05	-50.3	-394	0.02391047531587
94.6	-50.8	-397.9	0.02418739667868
95.15	-50.4	-394.8	0.02447793865769
95.7	-52.1	-408.2	0.02475832804935
96.25	-51.7	-404.3	0.02510475824633
96.8	-51.0	-399.6	0.02543823762766
97.35	-51.2	-400.8	0.02575396008285
97.9	-51.3	-401.5	0.02607467912163
98.45	-52.2	-407.7	0.02639858361426
99	-51.2	-400.5	0.02672325176167
99.55	-50.5	-395.8	0.02699077831534
100.1	-51.0	-399.7	0.02724408757571
100.65	-51.0	-399.6	0.02750986564562
101.2	-50.3	-394.8	0.02777572019036
101.75	-50.9	-398.5	0.02802713823895
102.3	-49.9	-390.2	0.02827760819624
102.85	-50.6	-396.4	0.0285003730694
103.4	-50.2	-392.7	0.02874059658871
103.95	-50.9	-400.4	0.02897076770424
104.5	-50.3	-393.5	0.02922345646959
105.05	-49.8	-390.6	0.02945649047578
105.6	-50.3	-395.2	0.02966891360221
106.15	-50.5	-396.9	0.0298903487556
106.7	-51.0	-399.1	0.0301166311144
107.25	-50.5	-396.9	0.0303492479518
107.8	-51.3	-401	0.03057613668896
108.35	-49.6	-387.9	0.03081698581439
108.9	-49.9	-390.3	0.0310527274384
109.45	-49.9	-390.8	0.03129563370438
110	-49.9	-390.2	0.0315403057811
110.55	-50.5	-395.6	0.03178353782513
111.1	-49.6	-387.7	0.03204328968237
111.65	-49.8	-388.9	0.03227995457826
112.2	-49.6	-388.9	0.0325056376395
112.75	-50.5	-395.4	0.0327302535387
113.3	-51.2	-399.5	0.03297328079219
113.85	-51.6	-401.7	0.03322879764689
114.4	-50.1	-392.2	0.03349141688304
114.95	-50.4	-393.9	0.03372988063498
115.5	-50.8	-397.7	0.0340039492248
116.05	-51.2	-401.1	0.03429105472158
116.6	-50.6	-395.7	0.03459037982679
117.15	-51.1	-398.7	0.03487131942254
117.7	-50.7	-395	0.03516281184749
118.25	-50.6	-394.7	0.03545975044585
118.8	-50.6	-395.8	0.03577303692242
119.35	-50.2	-391.8	0.03609078655231
119.9	-49.8	-389.85	0.0363940220298
120.45	-49.5	-387.9	0.03669057135735
121	-51.7	-404.4	0.03698057700258
121.55	-51.2	-401.1	0.03732105501697
122.1	-51.6	-403.4	0.03764230253247
122.65	-50.2	-391.8	0.03797279720864
123.2	-51.2	-400.5	0.03826081270175
123.75	-52.0	-406.2	0.03858063570074
124.3	-50.3	-392.7	0.03893778328178
124.85	-51.1	-400	0.03926401752407
125.4	-51.4	-401.9	0.0396202603559
125.95	-50.0	-391.3	0.03998498019143
126.5	-51.0	-399.8	0.04030661140774
127.05	-51.8	-404.2	0.04066288054429
127.6	-50.7	-395.6	0.04107431042177
128.15	-50.9	-397.2	0.04144941395929
128.7	-50.9	-398.2	0.0418320442356
129.25	-50.7	-396.6	0.04221956141846
129.8	-50.5	-395.6	0.04260002823773
130.35	-50.3	-392.7	0.04297625338107
130.9	-51.5	-401.8	0.04333993591666
131.45	-49.7	-387.3	0.04374563839838
132	-50.5	-394.6	0.04408708774109
132.55	-50.9	-397.2	0.04445987862705
133.1	-50.6	-394.5	0.0448446751238
133.65	-51.0	-399.5	0.04521750698926
134.2	-49.9	-389.9	0.0456135221531
134.75	-50.0	-390.8	0.04596687566949
135.3	-50.4	-394.4	0.04632426462271
135.85	-50.0	-391.7	0.04669757201137
136.4	-50.0	-389.2	0.04706207297076
136.95	-51.4	-401.6	0.04743004662404
137.5	-49.5	-387.2	0.04785697318439
138.05	-49.6	-387.8	0.0482166694381
138.6	-51.8	-404.9	0.04857914959026
139.15	-49.7	-388.9	0.04902396026982
139.7	-50.6	-394.9	0.0494003328422
140.25	-50.2	-393.8	0.04981346309016
140.8	-51.3	-399.6	0.05022141054174
141.35	-51.3	-400.9	0.05065882343349
141.9	-49.9	-391	0.05110329490503
142.45	-50.6	-396.1	0.05149841021698
143	-50.9	-398.5	0.05190032961016
143.55	-50.6	-396.5	0.0523140504624
144.1	-50.9	-397.8	0.05271819272519
144.65	-50.2	-392.9	0.05312883803961
145.2	-51.1	-398.7	0.05351631949631
145.75	-51.1	-398.9	0.05394229312809
146.3	-49.9	-390.6	0.05437783654929
146.85	-50.0	-390.4	0.05477245488066
147.4	-51.4	-402.3	0.05516629101306
147.95	-49.7	-389.9	0.05562042615611
148.5	-49.8	-390.3	0.05601275731091
149.05	-50.8	-398.8	0.05642370535878
149.6	-50.8	-397.8	0.05687871354847
150.15	-50.3	-394.9	0.05732848733297
150.7	-50.0	-392.2	0.05776311288109
151.25	-51.8	-404.7	0.05818410156313
151.8	-50.0	-391.2	0.05866163698407
152.35	-49.5	-387.3	0.05906057140205
152.9	-50.5	-396.4	0.05944148527889
153.45	-49.4	-387	0.0598662515567
154	-50.9	-398.1	0.06024605070932
154.55	-51.3	-401.4	0.06067980237738
155.1	-50.5	-395.2	0.06113112325172
155.65	-50.2	-393.4	0.06155037308101
156.2	-50.5	-394.9	0.0619608328023
156.75	-50.8	-397.1	0.06237883184751
157.3	-51.2	-400.6	0.06280807861615
157.85	-50.2	-393	0.0632557678309
158.4	-49.5	-387.1	0.06366474043956
158.95	-50.9	-397.5	0.06404600253377
159.5	-50.0	-390.4	0.06447778110472
160.05	-51.1	-399.3	0.06487457482005
160.6	-50.9	-397.5	0.06531665760008
161.15	-51.2	-399.9	0.06576756063582
161.7	-50.4	-395	0.0662316861123
162.25	-50.4	-394.1	0.0666695485719
162.8	-50.0	-393.4	0.06710283679579
163.35	-50.9	-398.4	0.06753262176495
163.9	-50.6	-395.1	0.06797690951835
164.45	-50.6	-396	0.06839742625128
165	-50.7	-397.3	0.06882258080903
165.55	-49.8	-389.3	0.06925448025732
166.1	-50.9	-399.6	0.06964712469422
166.65	-51.4	-402.3	0.07009917216492
167.2	-50.9	-396.7	0.07059782243604
167.75	-50.8	-397.2	0.07106432232313
168.3	-51.2	-402	0.07153371042215
168.85	-50.7	-396.9	0.07203088084004
169.4	-49.9	-390.9	0.07249877634868
169.95	-50.4	-393.4	0.07298654313884
170.5	-50.5	-395.9	0.07348933400749
171.05	-50.5	-395.1	0.07400745421586
171.6	-50.1	-392.7	0.07452074446747
172.15	-49.9	-389	0.07501962758063
172.7	-50.9	-397.9	0.07550407669902
173.25	-51.0	-398.9	0.07605406503828
173.8	-50.5	-396.8	0.07661075531668
174.35	-50.7	-396.6	0.07715375577742
174.9	-50.2	-392.7	0.07769555270813
175.45	-51.3	-400.6	0.07821631786392
176	-50.5	-396.3	0.07894163008901
176.55	-50.6	-395.6	0.07963076256429
177.1	-50.1	-393.3	0.08031427158703
177.65	-50.0	-391.4	0.08097937525327
178.2	-50.0	-391.3	0.08162966566181
178.75	-50.4	-393.2	0.08225878011792
179.3	-50.8	-397.6	0.08288747665193
179.85	-50.6	-395.8	0.08355018091969
180.4	-51.8	-403.1	0.08419889398628
180.95	-50.7	-396.3	0.08490678300153
181.5	-49.9	-390.6	0.08557324991941
182.05	-50.5	-396	0.08623546451658
182.6	-49.9	-390.6	0.08694187635677
183.15	-50.6	-396.3	0.08760427887913
183.7	-50.4	-394.5	0.08831342391208
184.25	-50.2	-391.4	0.08900758839011
184.8	-52.1	-407.6	0.08970170894975
185.35	-51.2	-401.2	0.0905563332844
185.9	-51.4	-402.4	0.0913481979538
186.45	-50.6	-395	0.09215159249667
187	-51.6	-402.5	0.09288715196583
187.55	-52.2	-407.9	0.09370400325187
188.1	-51.1	-399.6	0.09458369985282
188.65	-50.5	-394.6	0.09538050791824
189.2	-49.5	-387.2	0.09613123716195
189.75	-50.6	-396.2	0.09681857324549
190.3	-50.5	-394	0.09759781544318
190.85	-51.1	-399.1	0.09837982580655
191.4	-50.6	-395.2	0.09921102476549
191.95	-50.5	-396	0.10000450278
192.5	-51.1	-400.4	0.10080568669686
193.05	-50.1	-391.1	0.1016513422589
193.6	-51.0	-399.2	0.10242475119542
194.15	-49.4	-386.2	0.10327677763774
194.7	-51.2	-398.9	0.10400640301842
195.25	-49.8	-389	0.10485556850924
195.8	-49.8	-388.4	0.10561015795768
196.35	-51.2	-400.4	0.10633493396436
196.9	-50.1	-392.7	0.10714075580586
197.45	-50.0	-391	0.10787589776075
198	-50.1	-392.5	0.10859636043335
198.55	-50.8	-397.7	0.10932993165316
199.1	-51.1	-399.8	0.11011058091111
199.65	-51.0	-398.7	0.11091114616569
200.2	-51.7	-403.7	0.1117013631027
200.75	-50.9	-397.4	0.11254028634492
201.3	-50.0	-391.7	0.11331852205565
201.85	-50.5	-394.5	0.11404564976278
202.4	-50.8	-396.8	0.11473928292757
202.95	-51.1	-399.2	0.11543683095671
203.5	-50.4	-394	0.11615473913859
204.05	-50.0	-391.4	0.11682951572262
204.6	-51.6	-403.5	0.11748374662215
205.15	-49.8	-389.5	0.11823055540914
205.7	-51.2	-399.9	0.11885297428544
206.25	-51.0	-397.4	0.11955775487161
206.8	-50.9	-398.6	0.12024189122916
207.35	-50.4	-394.1	0.12093597916288
207.9	-51.0	-398.4	0.12158602114046
208.45	-51.4	-401.7	0.12222091713517
209	-50.4	-392.6	0.12288141895183
209.55	-50.7	-395.4	0.12347401034862
210.1	-51.5	-402.1	0.12408683192567
210.65	-51.7	-403.6	0.12475077794856
211.2	-50.6	-396.5	0.12536983255758
211.75	-51.5	-402.5	0.12593454613255
212.3	-51.1	-398.8	0.12654127841732
212.85	-50.8	-397	0.12712187501864
213.4	-49.9	-389.4	0.12769020760109
213.95	-50.5	-395	0.12812745403021
214.5	-51.6	-404.9	0.1285715159893
215.05	-51.4	-402.2	0.12907135678918
215.6	-49.8	-389.2	0.12955540966156
216.15	-50.8	-397	0.12996993550212
216.7	-51.5	-401.8	0.13039685520557
217.25	-51.2	-398.4	0.13081855654017
217.8	-52.1	-407.8	0.13122353884755
218.35	-50.6	-395.4	0.13167667708991
218.9	-51.6	-403.1	0.13206751931362
219.45	-52.0	-406.1	0.13250539353268
220	-50.0	-390.4	0.13297077893414
220.55	-50.1	-392.6	0.13335668279263
221.1	-50.5	-395.7	0.13375291602538
221.65	-51.5	-402.9	0.13416414972359
222.2	-51.3	-401.9	0.13459193230181
222.75	-51.2	-401.2	0.13495435348312
223.3	-51.2	-400.4	0.13531381225106
223.85	-50.9	-397.5	0.13566990730837
224.4	-49.9	-389.4	0.13601393612767
224.95	-50.4	-395.4	0.13632191813218
225.5	-49.6	-387.9	0.13660159341646
226.05	-51.0	-398.3	0.1368573536138
226.6	-51.1	-398.7	0.13714696607869
227.15	-51.2	-401.3	0.13743800740983
227.7	-50.9	-396.8	0.13773826789994
228.25	-50.8	-395.6	0.13805258026789
228.8	-51.6	-402.5	0.1383705819961
229.35	-51.0	-399.5	0.13871593765433
229.9	-50.9	-397.8	0.13904919533094
230.45	-51.2	-400.5	0.13937581322375
231	-51.3	-400.8	0.13970064720601
231.55	-50.8	-396.1	0.14001936921324
232.1	-51.6	-405.3	0.14032075124952
232.65	-52.6	-411.9	0.14065717715334
233.2	-51.4	-401.7	0.14102124404955
233.75	-51.2	-399.3	0.14134362571829
234.3	-51.7	-404.7	0.14165695411529
234.85	-51.4	-403.1	0.14199120259929
235.4	-51.6	-402.3	0.1423191817906
235.95	-50.8	-396.1	0.14264409750673
236.5	-49.7	-388.3	0.14299198558144
237.05	-50.9	-398.5	0.14331854546359
237.6	-51.9	-406.3	0.14368745355397
238.15	-51.1	-399.9	0.14409243038077
238.7	-51.7	-404.7	0.14446767952042
239.25	-51.6	-403.8	0.14486512484998
239.8	-50.5	-395	0.14525838716173
240.35	-51.4	-402.8	0.14561248903333
240.9	-51.6	-404.2	0.14600122120973
241.45	-51.0	-399.1	0.14639658606039
242	-50.3	-393.3	0.14681109575037
242.55	-51.1	-399.1	0.14721319371777
243.1	-49.8	-389.2	0.14764420792374
243.65	-50.8	-397.7	0.14802725472262
244.2	-49.8	-388.4	0.14845129771273
244.75	-51.3	-400.3	0.14886059836258
245.3	-51.7	-403.7	0.14939763935192
245.85	-50.9	-398.3	0.14995704040654
246.4	-50.5	-396.1	0.15048162303441
246.95	-49.9	-390.7	0.15099271063838
247.5	-51.6	-404.7	0.1514693205105
248.05	-51.2	-400.2	0.15201491272096
248.6	-49.8	-388.5	0.15253207221026
249.15	-49.9	-390.4	0.15298190498101
249.7	-52.0	-405.5	0.15344214998208
250.25	-51.2	-399.5	0.1539934202864
250.8	-51.4	-402.1	0.15460412731929
251.35	-51.4	-402.2	0.1552355188087
251.9	-50.6	-395.2	0.15586780263916
252.45	-50.0	-391.6	0.15644952626879
253	-50.8	-396.5	0.15700690334654
253.55	-51.1	-399.5	0.15766224667985
254.1	-51.1	-400.6	0.15835409111283
254.65	-51.3	-401.6	0.15905523714585
255.2	-51.2	-400.6	0.15976496188114
255.75	-52.0	-406.3	0.16046642034496
256.3	-51.1	-398.3	0.16116451635684
256.85	-52.8	-411.7	0.16178875727044
257.4	-51.1	-399.8	0.16252145222394
257.95	-50.8	-396.9	0.16315725426998
258.5	-51.5	-401.4	0.16377155718774
259.05	-51.8	-405.3	0.16451676800542
259.6	-52.3	-408.3	0.16530232495329
260.15	-52.2	-406.5	0.1661167059073
260.7	-51.2	-400.8	0.16691394949784
261.25	-51.6	-403.2	0.1676760912006
261.8	-50.8	-397.5	0.16852577074597
