#Herron-Langway model fitted onto measured density, from the .gnumeric model
#depth, m	Relative density
0	0.38167938931298
0.55	0.3899586421188
1.1	0.39830179916404
1.65	0.40670445377747
2.2	0.41516206311404
2.75	0.42366995723519
3.3	0.43222334880085
3.85	0.44081734333414
4.4	0.44944695001473
4.95	0.45810709295288
5.5	0.46679262289162
6.05	0.47549832928123
6.6	0.48421895266674
7.15	0.49294919732663
7.7	0.50168374409848
8.25	0.51041726332579
8.8	0.51914442785925
9.35	0.52785992604495
9.9	0.53655847463239
10.45	0.54523483153575
11	0.55388380838324
11.55	0.56250028279113
12.1	0.57107921030154
12.65	0.579615635926
13.2	0.58810470524017
13.75	0.59654167497889
14.3	0.60211973422497
14.85	0.60591616686933
15.4	0.6096998562033
15.95	0.61347039208362
16.5	0.61722737051562
17.05	0.62097039380759
17.6	0.62469907071908
18.15	0.62841301660316
18.7	0.63211185354235
19.25	0.6357952104784
19.8	0.63946272333561
20.35	0.64311403513782
20.9	0.64674879611893
21.45	0.65036666382695
22	0.65396730322153
22.55	0.657550386765
23.1	0.66111559450681
23.65	0.66466261416159
24.2	0.6681911411805
24.75	0.67170087881625
25.3	0.6751915381816
25.85	0.67866283830134
26.4	0.68211450615807
26.95	0.68554627673144
27.5	0.68895789303128
28.05	0.69234910612442
28.6	0.69571967515543
29.15	0.69906936736128
29.7	0.70239795808005
30.25	0.70570523075376
30.8	0.70899097692544
31.35	0.71225499623052
31.9	0.71549709638267
32.45	0.71871709315418
33	0.72191481035108
33.55	0.725090079783
34.1	0.72824274122797
34.65	0.73137264239234
35.2	0.73447963886584
35.75	0.73756359407199
36.3	0.74062437921405
36.85	0.7436618732165
37.4	0.74667596266239
37.95	0.74966654172655
38.5	0.75263351210486
39.05	0.75557678293984
39.6	0.75849627074248
40.15	0.76139189931069
40.7	0.76426359964443
41.25	0.76711130985761
41.8	0.76993497508707
42.35	0.77273454739861
42.9	0.77550998569043
43.45	0.77826125559387
44	0.78098832937192
44.55	0.78369118581533
45.1	0.78636981013673
45.65	0.78902419386274
46.2	0.79165433472429
46.75	0.79426023654525
47.2999999999999	0.79684190912963
47.8499999999999	0.79939936814725
48.3999999999999	0.80193263501834
48.9499999999999	0.80444173679685
49.4999999999999	0.80692670605295
50.0499999999999	0.80938758075454
50.5999999999999	0.81182440414816
51.1499999999999	0.81423722463922
51.6999999999999	0.81662609567176
52.2499999999999	0.81899107560792
52.7999999999999	0.82133222760707
53.3499999999999	0.82364961950486
53.8999999999999	0.82594332369224
54.4499999999999	0.82821341699457
54.9999999999999	0.83045998055084
55.5499999999999	0.83268309969327
56.0999999999999	0.83488286382722
56.6499999999999	0.83705936631154
57.1999999999999	0.83921270433954
57.7499999999999	0.84134297882052
58.2999999999999	0.84345029426211
58.8499999999999	0.84553475865327
59.3999999999999	0.84759648334827
59.9499999999999	0.84963558295156
60.4999999999999	0.85165217520364
61.0499999999999	0.85364638086803
61.5999999999999	0.85561832361927
62.1499999999999	0.85756812993228
62.6999999999999	0.85949592897276
63.2499999999999	0.86140185248904
63.7999999999999	0.86328603470515
64.3499999999999	0.86514861221536
64.8999999999999	0.86698972388009
65.4499999999999	0.86880951072332
65.9999999999999	0.87060811583144
66.5499999999999	0.87238568425368
67.0999999999999	0.87414236290411
67.6499999999998	0.87587830046519
68.1999999999998	0.87759364729297
68.7499999999998	0.87928855532388
69.2999999999998	0.88096317798322
69.8499999999998	0.88261767009535
70.3999999999998	0.88425218779546
70.9499999999998	0.88586688844315
71.4999999999998	0.88746193053772
72.0499999999998	0.88903747363508
72.5999999999998	0.89059367826652
73.1499999999998	0.89213070585912
73.6999999999998	0.89364871865793
74.2499999999998	0.89514787964993
74.7999999999998	0.8968122224082
75.3499999999998	0.8984652335978
75.8999999999998	0.90010602684643
76.4499999999998	0.90173375989678
76.9999999999998	0.90334763479326
77.5499999999998	0.90494689791036
78.0999999999998	0.90653083983312
78.6499999999998	0.90809879510022
79.1999999999998	0.90965014181983
79.7499999999998	0.91118430116875
80.2999999999998	0.91270073678468
80.8499999999998	0.91419895406161
81.3999999999998	0.9156784993578
81.9499999999998	0.91713895912549
82.4999999999998	0.91857995897134
83.0499999999998	0.92000116265586
83.5999999999998	0.92140227104006
84.1499999999998	0.92278302098675
84.6999999999998	0.92414318422389
85.2499999999998	0.92548256617662
85.7999999999998	0.92680100477439
86.3499999999998	0.92809836923905
86.8999999999997	0.92937455885952
87.4499999999997	0.93062950175801
87.9999999999997	0.93186315365263
88.5499999999997	0.93307549662066
89.0999999999997	0.93426653786646
89.6499999999997	0.93543630849768
90.1999999999997	0.93658486231303
90.7499999999997	0.93771227460462
91.2999999999997	0.93881864097753
91.8499999999997	0.93990407618907
92.3999999999997	0.94096871300976
92.9499999999997	0.94201270110801
93.4999999999997	0.94303620596018
94.0499999999997	0.94403940778732
94.5999999999997	0.94502250051999
95.1499999999997	0.94598569079212
95.6999999999997	0.94692919696474
96.2499999999997	0.94785324818043
96.7999999999997	0.94875808344888
97.3499999999997	0.94964395076411
97.8999999999997	0.95051110625358
98.4499999999997	0.95135981335935
98.9999999999997	0.95219034205141
99.5499999999997	0.95300296807303
100.1	0.95379797221819
100.65	0.95457563964064
101.2	0.95533625919453
101.75	0.95608012280605
102.3	0.95680752487582
102.85	0.95751876171149
103.4	0.95821413098989
103.95	0.95889393124849
104.5	0.95955846140508
105.05	0.96020802030552
105.6	0.96084290629845
106.15	0.96146341683649
106.7	0.96206984810314
107.25	0.96266249466458
107.8	0.96324164914559
108.35	0.96380760192891
108.9	0.96436064087711
109.45	0.96490105107618
110	0.96542911460017
110.55	0.96594511029582
111.1	0.96644931358664
111.65	0.96694199629538
112.2	0.96742342648428
112.75	0.9678938683122
113.3	0.96835358190778
113.85	0.96880282325804
114.4	0.96924184411148
114.95	0.96967089189496
115.5	0.97009020964366
116.05	0.97050003594343
116.6	0.97090060488465
117.15	0.97129214602714
117.7	0.97167488437529
118.25	0.97204904036279
118.8	0.97241482984636
119.35	0.97277339866489
119.9	0.97312701644964
120.45	0.97347570194132
121	0.97381947546664
121.55	0.97415835889481
122.1	0.97449237559386
122.65	0.97482155038667
123.2	0.97514590950697
123.75	0.97546548055512
