#This is the raw Datice output, not the official AICC2012 file.
#Depth (m)	Ice age (a B1950)	Ice age std (a)	Gas age (a B1950)	Gas age std (a)	Accu. Rate (m ie)	Thinning	LIDIE (m ie)
148.5	4136.81	32.2343	1878.43	301.063	0.0289	0.9627	64.78
150.15	4194.7	32.5789	1953.14	305.727	0.0293	0.9623	64.26
151.8	4252.23	32.9313	2029.43	313.387	0.03	0.9618	66.07
153.45	4308.32	33.321	2026.32	312.077	0.029	0.9613	64.82
155.1	4366.42	33.7413	2129.89	316.281	0.0287	0.9608	65.14
156.75	4425.14	34.1743	2178.07	304.42	0.0289	0.9606	64.37
158.4	4483.57	34.6053	2264.68	311.295	0.0304	0.9604	66.06
160.05	4539.45	35.0926	2265.56	336.966	0.028	0.9597	63.72
161.7	4599.7	35.5937	2412.28	345.242	0.0288	0.9594	65.25
163.35	4658.6	36.1195	2419.43	341.047	0.0288	0.9588	64.48
165	4717.34	36.6735	2510.9	326.323	0.0287	0.9583	64.84
166.65	4776.56	37.2476	2559.21	313.606	0.0278	0.9581	64.51
168.3	4837.69	37.8329	2628.86	315.833	0.0281	0.9575	64.75
169.95	4898.27	38.3968	2678.98	329.927	0.0298	0.9572	65.13
171.6	4955.4	38.9651	2725.33	302.599	0.0291	0.9567	64.41
173.25	5013.89	39.5303	2807.22	307.5	0.0285	0.9563	65.42
174.9	5073.67	40.0807	2829.86	321.618	0.0281	0.9561	63.86
176.55	5134.35	40.5859	2936.85	334.559	0.0297	0.9556	66.51
178.2	5192.23	41.0556	2905.93	333.007	0.0295	0.9553	66.21
179.85	5250.09	41.4943	2974.82	334.335	0.0283	0.9548	65.55
181.5	5310.46	41.8651	3059.16	322.561	0.0294	0.9544	64.66
183.15	5368.96	42.1607	3147.28	364.764	0.0293	0.9538	64.07
184.8	5427.26	42.4025	3227.76	369.802	0.026	0.9534	64.62
186.45	5493.35	42.5707	3271.71	364.592	0.0266	0.9532	65.84
188.1	5557.76	42.6635	3290.14	357.451	0.0288	0.9528	63.53
189.75	5617.6	42.6849	3433.73	345.395	0.0289	0.9525	63.13
191.4	5676.74	42.6303	3508.7	335.484	0.0284	0.9523	64.28
193.05	5737.28	42.5105	3528.9	337.796	0.0294	0.9518	63.71
194.7	5795.9	42.3363	3607.11	332.314	0.0303	0.9517	64.27
196.35	5852.38	42.1046	3645.63	328.98	0.0303	0.9513	64.76
198	5909.33	41.7961	3687.07	335.313	0.0285	0.951	65.88
199.65	5969.74	41.4207	3707.18	344.949	0.0272	0.9507	64.52
201.3	6033.05	41.0646	3808.08	349.116	0.0293	0.9502	65.97
202.95	6091.88	40.6649	3818.92	356.081	0.0284	0.95	65.98
204.6	6152.24	40.24	3877.45	357.16	0.029	0.9498	64.98
206.25	6211.86	39.8246	3971.81	358.754	0.0287	0.9495	65.29
207.9	6271.95	39.4173	4021.55	346.993	0.0279	0.9494	64.36
209.55	6333.9	39.0755	4110.28	351.102	0.028	0.949	64.19
211.2	6395.52	38.7965	4175.61	347.719	0.0272	0.9486	64.57
212.85	6458.97	38.6106	4222.23	341.078	0.0298	0.9481	65.31
214.5	6516.94	38.4542	4256.51	354.343	0.0272	0.9479	65.2
216.15	6580.44	38.3708	4317.78	351.996	0.0279	0.9474	64.54
217.8	6642.38	38.3391	4400.42	349.868	0.027	0.9468	64.71
219.45	6706.43	38.3297	4455.4	340.605	0.0288	0.9469	65.24
221.1	6766.59	38.3189	4495.58	363.976	0.0278	0.9469	64.05
222.75	6828.86	38.3208	4594.62	358.861	0.0282	0.9467	64.4
224.4	6890.37	38.3381	4642.58	365.594	0.0308	0.9462	65.95
226.05	6946.67	38.3366	4650.04	362.22	0.0282	0.946	64.78
227.7	7008.11	38.3275	4749.95	370.616	0.0282	0.9454	64.39
229.35	7069.53	38.3041	4826.02	369.335	0.0275	0.9451	64.8
231	7132.9	38.2766	4891.28	350.5	0.0273	0.9449	64.64
232.65	7196.54	38.2438	4938.3	355.299	0.0255	0.9442	64.44
234.3	7264.7	38.2197	5005.04	363.643	0.0268	0.9437	63.88
235.95	7329.52	38.2022	5085.98	372.246	0.0298	0.9432	65.58
237.6	7387.94	38.1532	5088.55	351.735	0.0264	0.9425	65.19
239.25	7453.85	38.1034	5163.14	362.298	0.0271	0.9419	64.74
240.9	7518.59	38.0387	5252.8	353.421	0.0284	0.9421	64.3
242.55	7579.87	37.9776	5313	358.063	0.0302	0.942	64.92
244.2	7637.47	37.9031	5351.11	364.698	0.0289	0.942	66.05
245.85	7697.71	37.8277	5371.54	393.407	0.029	0.9418	64.03
247.5	7758.06	37.7688	5522.42	395.114	0.029	0.9414	64.48
249.15	7818.14	37.7256	5556.91	374.093	0.0285	0.9411	65.5
250.8	7879.23	37.7049	5582.54	367.487	0.0285	0.9404	63.85
252.45	7940.7	37.6975	5713.71	350.474	0.0291	0.9396	63.61
254.1	8001.02	37.6973	5782.69	334.18	0.0272	0.9394	62.11
255.75	8065.51	37.7037	5888.81	349.439	0.0262	0.9388	65.56
257.4	8132.69	37.7238	5835.44	362.731	0.0275	0.9381	64.34
259.05	8196.56	37.7584	5934.93	377.08	0.0256	0.9373	64.25
260.7	8265.36	37.8042	6001.39	386.994	0.0272	0.9372	65.56
262.35	8330.12	37.852	6018.02	362.696	0.0273	0.937	65.9
264	8394.61	37.8846	6067.02	371.789	0.0265	0.9369	65.46
265.65	8461.03	37.9177	6142.22	362.588	0.0275	0.9366	64.04
267.3	8525.12	37.948	6250.96	371.022	0.0284	0.9363	63.56
268.95	8587.21	37.949	6329.61	377.36	0.0285	0.9363	64.56
270.6	8648.95	37.9344	6356.28	392.211	0.0293	0.9362	65.01
272.25	8709.11	37.9142	6402.65	352.698	0.0284	0.9357	64.31
273.9	8771.17	37.8585	6489.72	386.214	0.0283	0.9355	64.37
275.55	8833.51	37.7141	6549.15	378.261	0.0275	0.9356	64.05
277.2	8897.68	37.5392	6622.58	363.521	0.0296	0.9355	63.24
278.85	8957.3	37.3224	6715.05	377.49	0.0295	0.9353	63.42
280.5	9017.1	37.0503	6769.53	389.171	0.0296	0.9353	65
282.15	9076.72	36.7224	6776.27	380.115	0.0295	0.9357	63.62
283.8	9136.6	36.3742	6885.61	349.679	0.0288	0.9355	63.72
285.45	9197.82	36.0079	6939.41	375.472	0.0281	0.9353	62.62
287.1	9260.62	35.6786	7039.11	388.899	0.0311	0.9356	64.43
288.75	9317.27	35.3462	7036.72	395.88	0.0294	0.9352	63.8
290.4	9377.26	35.0525	7122.48	418.724	0.0303	0.9349	63.05
292.05	9435.45	34.7758	7215.35	406.113	0.031	0.935	65.47
293.7	9492.35	34.5106	7190.12	406.108	0.0324	0.9349	64.13
295.35	9546.9	34.2004	7307.53	364.371	0.0292	0.9349	63.73
297	9607.35	33.9007	7381.47	402.749	0.0308	0.9351	63.43
298.65	9664.62	33.5913	7457.16	382.917	0.031	0.9351	63.48
300.3	9721.51	33.2873	7519.93	365.05	0.0319	0.9355	61.33
301.95	9776.8	32.9963	7651	372.488	0.0324	0.9353	62.63
303.6	9831.27	32.729	7667.29	375.171	0.0333	0.9354	63.01
305.25	9884.18	32.4266	7714.54	384.559	0.0292	0.9357	64.27
306.9	9944.53	32.1709	7731.21	377.437	0.0309	0.9356	62.2
308.55	10001.6	31.9374	7862.57	385.433	0.0306	0.9357	63.15
310.2	10059.3	31.7374	7890.91	379.189	0.0309	0.9355	63.14
311.85	10116.4	31.584	7952.86	392.236	0.0319	0.9354	65.11
313.5	10171.7	31.4716	7946.1	416.565	0.0318	0.9352	64.52
315.15	10227.1	31.4068	8028.74	429.86	0.0324	0.9349	63.9
316.8	10281.7	31.3877	8119.02	409.208	0.0314	0.9351	63.82
318.45	10338	31.4264	8185.72	450.599	0.0303	0.9351	65.21
320.1	10396.1	31.5341	8199.72	408.59	0.0313	0.9354	62.84
321.75	10452.5	31.7224	8354.26	419.312	0.0298	0.9353	64.71
323.4	10511.6	31.9834	8350.78	408.475	0.0295	0.9351	63.47
325.05	10571.5	32.2708	8462.97	392.133	0.0332	0.9356	62.64
326.7	10624.6	32.5698	8554.94	386.097	0.0345	0.9353	62.09
328.35	10675.7	32.9193	8636.66	379.77	0.03	0.9354	62.59
330	10734.5	33.291	8680.16	386.446	0.0303	0.9353	61.47
331.65	10792.7	33.6767	8780.87	396.139	0.0311	0.9346	63.27
333.3	10849.5	34.1128	8781.29	405.517	0.0295	0.9344	63.02
334.95	10909.5	34.5942	8853.38	372.541	0.0305	0.934	62.24
336.6	10967.4	35.1493	8943.55	377.252	0.0307	0.9336	62.9
338.25	11025	35.8107	8981.89	377.752	0.0303	0.9331	63.34
339.9	11083.3	36.6281	9027.66	383.114	0.0291	0.9325	64.16
341.55	11144	37.5331	9061.19	387.377	0.0315	0.9324	64.16
343.2	11200.3	38.6342	9121.28	394.913	0.03	0.9316	63.98
344.85	11259.3	39.9646	9190.24	361.269	0.0285	0.9305	63.41
346.5	11321.5	41.3318	9274.2	380.803	0.0316	0.9299	63.17
348.15	11377.7	42.9317	9341.18	389.557	0.0303	0.9293	64.38
349.8	11436.4	44.6925	9361.74	378.924	0.0307	0.9288	64.42
351.45	11494.2	46.6016	9420	377.098	0.0311	0.9286	65.46
353.1	11551.3	48.8372	9444.39	359.199	0.0289	0.9281	64.87
354.75	11612.9	51.003	9520.14	370.853	0.0319	0.9277	66.87
356.4	11668.7	53.2709	9514.22	378.921	0.0318	0.9273	68.27
358.05	11724.6	55.9067	9526.77	427.554	0.0286	0.9269	69.26
359.7	11786.8	58.5555	9552.67	438.526	0.0296	0.9268	70.74
361.35	11846.9	61.2	9563.21	448.49	0.0304	0.9261	72.26
363	11905.5	63.9666	9573.39	425.695	0.0294	0.9256	72.47
364.65	11966.2	66.8867	9627.15	416.658	0.0281	0.9251	71.36
366.3	12029.7	70.0295	9720.98	391.525	0.0261	0.9245	70.15
367.95	12097.9	73.2583	9814.57	427.219	0.0256	0.924	69.06
369.6	12167.7	76.468	9903.74	398.624	0.0257	0.9236	68.13
371.25	12237.2	79.8732	9993.7	395.928	0.0246	0.9228	67.71
372.9	12309.8	83.885	10066.7	384.865	0.0229	0.9224	67.79
374.55	12387.9	88.1445	10122.2	389.191	0.0237	0.9221	68.28
376.2	12463.4	92.7295	10162.8	394.431	0.024	0.9219	68.59
377.85	12538	98.1872	10209.3	397.785	0.0215	0.9216	67.89
379.5	12621.1	103.833	10286.1	426.198	0.0221	0.9213	68.29
381.15	12702.1	109.838	10330.5	467.006	0.0216	0.9211	68.38
382.8	12785.1	116.672	10386.1	490.903	0.0194	0.921	67.45
384.45	12877.4	123.365	10473.2	511.924	0.0203	0.921	66.88
386.1	12965.8	130.145	10551.7	443.662	0.0201	0.921	66.05
387.75	13054.9	136.871	10631.2	467.683	0.0202	0.9208	61.85
389.4	13143.7	143.439	10820.1	479.948	0.0204	0.9207	62.9
391.05	13231.6	149.859	10844	505.48	0.0203	0.9207	66.06
392.7	13320	156.141	10800.6	518.469	0.0201	0.9208	67.79
394.35	13409.4	161.986	10802.5	509.325	0.0207	0.9207	65.65
396	13495.9	167.456	10930.6	496.992	0.0211	0.9207	65
397.65	13580.9	172.656	11009.4	511.869	0.0211	0.9207	64.3
399.3	13665.8	178.027	11090.6	467.537	0.0193	0.9209	64.12
400.95	13758.9	182.736	11156.1	470.571	0.0209	0.9211	65.65
402.6	13844.7	187.229	11163.9	468.629	0.0207	0.9212	66.7
404.25	13931.3	191.758	11186.7	484.385	0.0193	0.9212	67.16
405.9	14024.1	195.821	11229.9	491.68	0.0201	0.9215	66.3
407.55	14113.3	199.352	11319.7	446.544	0.0213	0.9218	65.34
409.2	14197.2	202.68	11406.7	416.041	0.0206	0.922	63.96
410.85	14284.2	205.397	11509	440.382	0.023	0.9222	64.4
412.5	14362.2	208.002	11551.9	416.277	0.0215	0.9224	66.9
414.15	14445.4	210.279	11528.5	424.089	0.0221	0.9226	68.56
415.8	14526.4	212.306	11532.1	434.891	0.0224	0.923	70.02
417.45	14606.1	213.942	11541.7	447.445	0.0256	0.9228	71.95
419.1	14675.9	215.529	11537.6	432.542	0.0239	0.9221	71.24
420.75	14750.7	217.121	11623.5	471.952	0.0215	0.9214	69.83
422.4	14834	218.58	11724.9	453.497	0.0213	0.9206	68.91
424.05	14918.1	219.936	11820.1	463.631	0.0206	0.9197	67.88
425.7	15005.4	221.192	11915.4	490.675	0.0192	0.9187	66.75
427.35	15098.7	222.23	12019.1	551.723	0.0202	0.9177	65.92
429	15187.7	223.065	12121.6	561.626	0.0209	0.9168	64.94
430.65	15273.7	223.714	12231.2	642.038	0.0199	0.9157	63.79
432.3	15364.2	224.146	12356.4	651.154	0.0208	0.915	64.41
433.95	15450.8	224.363	12409.5	680.444	0.0199	0.9142	65.03
435.6	15541.4	224.376	12461.3	702.674	0.0198	0.9133	65.76
437.25	15632.6	224.176	12508.4	809.288	0.0183	0.9125	65.95
438.9	15731.5	223.804	12581.7	814.172	0.018	0.9117	66.03
440.55	15832.3	223.319	12663	858.691	0.0187	0.9108	66.28
442.2	15929.4	222.678	12736.2	978.25	0.0182	0.9101	66.29
443.85	16029.1	221.95	12825	958.594	0.0182	0.9093	66.29
445.5	16128.6	221.227	12918.7	981.191	0.0184	0.9084	66
447.15	16227.1	220.575	13025.1	963.67	0.0177	0.9075	64.19
448.8	16329.8	220.18	13204.6	974.125	0.0175	0.9067	62.37
450.45	16433.8	220.247	13384.8	926.515	0.0169	0.9057	60.87
452.1	16541.9	221.019	13545.8	960.407	0.0171	0.905	61.39
453.75	16648.4	222.699	13608.7	1088.44	0.0168	0.9042	61.99
455.4	16756.7	225.331	13668.8	1133.31	0.0167	0.9035	62.72
457.05	16865.8	229.036	13727.2	1077.37	0.0163	0.9026	62.71
458.7	16978.3	234.135	13818.4	1185.21	0.0154	0.9017	61.9
460.35	17096.7	240.696	13947.1	1166	0.0154	0.901	61.3
462	17215.4	249.154	14070.9	1120.27	0.0147	0.9002	60.64
463.65	17340.3	259.563	14190.1	1207.48	0.0144	0.8994	61.24
465.3	17468.1	271.156	14250.7	1277.86	0.015	0.8987	63.14
466.95	17590.1	284.705	14250.6	1194.52	0.0144	0.8979	64.2
468.6	17717.3	299.771	14289.1	1293.5	0.0141	0.8971	63.78
470.25	17847.6	316.276	14388.9	1268.12	0.0137	0.8962	63.15
471.9	17981.9	334.234	14502.2	1104.47	0.0132	0.8952	62.46
473.55	18121.6	351.3	14614	1195.38	0.0141	0.8942	62.7
475.2	18252.4	368.322	14677.7	1220.7	0.0138	0.8932	63.55
476.85	18385.8	385.018	14720.7	1378.93	0.0135	0.8922	64.14
478.5	18522.7	400.287	14777.3	1402.25	0.0141	0.8911	65.04
480.15	18653.6	415.127	14823.4	1417.82	0.0139	0.8902	64.96
481.8	18787.1	429.66	14914.1	1538.35	0.0135	0.8893	63.46
483.45	18924.3	442.303	15080	1394.29	0.0146	0.8883	62.34
485.1	19051.3	454.202	15225.5	1374.26	0.014	0.8872	61.01
486.75	19184.3	464.522	15381.1	1414.65	0.0143	0.8863	60.11
488.4	19314.8	473.506	15515.3	1519.21	0.0141	0.8856	59.13
490.05	19446.6	481.249	15659	1544.09	0.014	0.8849	58.91
