#This is the raw Datice output, not the official AICC2012 file.
#Depth (m)	Ice age (a B1950)	Ice age std (a)	Gas age (a B1950)	Gas age std (a)	Accu. Rate (m ie)	Thinning	LIDIE (m ie)
627	31540.4	246.996	27072.1	2386.43	0.0124	0.8316	58.95
628.65	31701	242.606	27251.8	2396.06	0.0126	0.8313	59.12
630.3	31859	238.587	27407.1	2278.01	0.0128	0.8305	59.24
631.95	32014.5	235.167	27567.9	2309.1	0.0123	0.8302	60.73
633.6	32175.7	232.428	27610.6	2350.13	0.0135	0.8298	62.57
635.25	32323.1	230.119	27624.8	2158.18	0.0139	0.8296	60.16
636.9	32466.3	228.532	27962.1	2234.9	0.0138	0.8293	62.64
638.55	32610.9	227.439	27926.5	2033.28	0.0132	0.8277	61.21
640.2	32762	226.296	28200	2095.85	0.0134	0.8267	61.11
641.85	32910.7	224.741	28359	2266.41	0.013	0.8263	61.54
643.5	33064	223.113	28481	2313.02	0.0118	0.8252	62.86
645.15	33233.6	222.599	28542.5	2402.47	0.0121	0.8252	65.36
646.8	33398.4	222.901	28501.7	2312.69	0.0129	0.8233	64.36
648.45	33553.8	223.392	28753.8	2004.9	0.0139	0.8225	63.09
650.1	33698.3	223.809	28992.7	2134.71	0.014	0.8225	64.1
651.75	33841.2	224.266	29063.3	2167.91	0.0133	0.8225	64.82
653.4	33991.8	225.002	29157.2	2227.09	0.0134	0.8214	65.78
655.05	34141.2	225.3	29241.3	2148.41	0.0128	0.819	65.95
656.7	34299.2	224.626	29389.9	1978.59	0.0118	0.8196	63.57
658.35	34469.9	223.578	29690.2	2073.79	0.0118	0.8189	64.46
660	34640.2	223.356	29768.1	2070.14	0.0124	0.8181	63.06
661.65	34803.4	224.337	30007.8	2068.13	0.0122	0.8172	60.97
663.3	34968.8	225.47	30300.3	2141.5	0.0133	0.8162	61.21
664.95	35120.8	226.335	30441.2	2072.55	0.0134	0.8156	61.45
666.6	35271.2	227.114	30580.7	1971.05	0.0138	0.8145	61.28
668.25	35418.1	227.757	30750.8	1932.37	0.0137	0.8135	61.08
669.9	35566.1	228.614	30921.2	1956.71	0.0141	0.8135	61.43
671.55	35710.5	229.748	31048.5	1949.95	0.0144	0.8132	62.35
673.2	35851.1	230.934	31133.4	1912.78	0.0139	0.8124	60.59
674.85	35997.6	232.344	31413.8	2018.99	0.0138	0.8117	60.14
676.5	36144.8	234.037	31607	2080.62	0.0141	0.811	61.2
678.15	36288.8	236.008	31687.7	2072.38	0.013	0.8097	61.26
679.8	36445.2	238.287	31849.7	2067.04	0.0139	0.8081	61.58
681.45	36592.5	240.663	31989.9	2158.78	0.0132	0.8075	63.77
683.1	36747.4	242.893	31982.2	2237.65	0.0137	0.807	65.79
684.75	36896.7	244.746	31986.7	2054.99	0.0141	0.8065	63.76
686.4	37042.1	245.999	32299.1	1983.75	0.0142	0.8062	63.7
688.05	37185.9	246.671	32448.5	1978.75	0.0143	0.8059	63.63
689.7	37329.3	246.719	32599.4	1973.67	0.0143	0.8051	61.12
691.35	37472.7	246.437	32937.7	2079.3	0.016	0.8037	60.01
693	37601.1	245.502	33194.7	1993.54	0.0156	0.8018	61.16
694.65	37733.2	243.875	33279.8	1978.64	0.0161	0.8006	62.76
696.3	37861.5	241.61	33324	1831.02	0.0162	0.8005	63.26
697.95	37989.1	239.28	33446.7	1641.97	0.0177	0.8003	62.5
699.6	38105.5	236.967	33653	1579.83	0.0188	0.7998	62.02
701.25	38215	234.73	33832.1	1602.17	0.0195	0.7994	61.02
702.9	38321	231.958	34057.2	1769.97	0.0164	0.799	59.6
704.55	38446.8	229.323	34323.2	1753.1	0.0179	0.7983	59.49
706.2	38562.6	226.09	34506.9	1796.46	0.0169	0.7973	61.05
707.85	38685	222.502	34555.3	1724.22	0.0176	0.7963	60.81
709.5	38802.7	218.347	34746.4	1819.36	0.0177	0.7958	63.43
711.15	38919.9	213.639	34706.5	1876.67	0.018	0.795	64.4
712.8	39035.1	207.928	34798.6	1941.59	0.0175	0.7944	64.41
714.45	39154.1	201.558	34967.6	1803.51	0.0179	0.7937	64.09
716.1	39270	194.52	35146.5	1870.4	0.018	0.793	64.82
717.75	39385.6	186.007	35248.1	1865.71	0.0162	0.7925	63.93
719.4	39514.2	176.767	35461.7	1874.75	0.0161	0.7917	64.19
721.05	39644	165.9	35595.2	1879.73	0.0156	0.791	64.6
722.7	39778.1	152.677	35714.4	1973.55	0.0148	0.7902	64.08
724.35	39919.2	138.803	35896.4	1975.98	0.0153	0.7896	63.28
726	40055.3	125.551	36103.2	1971.51	0.0162	0.7889	64.35
727.65	40184.2	112.38	36178.6	2100.37	0.0161	0.7883	63.3
729.3	40314.5	98.8182	36407.2	2002.61	0.0153	0.7876	64.34
730.95	40451.6	86.7651	36487.6	2106.55	0.0163	0.7868	64.85
732.6	40580.1	74.4431	36604.6	2006.47	0.0145	0.786	64.55
734.25	40724.7	65.201	36785	1910.61	0.0142	0.7855	63.51
735.9	40872.2	61.3839	37008.4	1892.09	0.014	0.785	64
737.55	41022.2	62.3187	37121.7	1911.1	0.0149	0.7843	65.2
739.2	41163.5	66.391	37187.1	1905.21	0.0153	0.7832	65.28
740.85	41301	72.1625	37331.2	1926.89	0.0149	0.7827	65.74
742.5	41442.8	79.6487	37445.8	1774.29	0.0141	0.7819	65.14
744.15	41592.2	91.093	37618.8	1848.04	0.0136	0.7811	67.13
745.8	41747	107.352	37630.5	1885.94	0.0131	0.7797	67.94
747.45	41908.3	126.749	37719.3	1803.12	0.0128	0.7793	66.55
749.1	42073.9	147.588	37934	1500.92	0.0128	0.7793	64.07
750.75	42239.9	167.42	38186.3	1436.1	0.0135	0.7786	63.93
752.4	42396.4	185.915	38303.3	1678.5	0.014	0.7774	64.63
754.05	42548.2	203.362	38390.1	1503.99	0.014	0.7763	64.62
755.7	42700.2	219.597	38516.1	1567.31	0.0138	0.7759	65.45
757.35	42854.7	233.163	38589.9	1444.86	0.015	0.7756	64.15
759	42996.4	245.238	38784.2	1451.47	0.0152	0.7751	65.89
760.65	43136.5	256.393	38808.1	1401.49	0.015	0.7746	65.12
762.3	43278.5	267.245	38969.2	1436.44	0.0145	0.7742	64.47
763.95	43425.2	277.379	39124.1	1393.53	0.0146	0.7737	63.58
765.6	43571.3	286.833	39291.4	1574.24	0.0143	0.7729	63.66
767.25	43720.7	295.37	39408.9	1593.74	0.0142	0.7721	62.5
768.9	43871.1	303.093	39612	1675.32	0.014	0.7715	64.33
770.55	44023.4	310.17	39633.9	1783.52	0.0137	0.771	65.22
772.2	44179.2	316.956	39713.9	1909.08	0.0135	0.7705	65.75
773.85	44338.2	323.515	39819.8	1690.4	0.0146	0.7697	63.83
775.5	44485.2	330.611	40084.1	1721.87	0.0138	0.7691	65.65
777.15	44640.1	337.653	40106.8	1722.31	0.0144	0.7688	62.84
778.8	44789.1	344.744	40413.5	1567.96	0.0144	0.7677	62.73
780.45	44938.2	351.996	40556.2	1709.39	0.0146	0.7668	62.73
782.1	45085.3	358.871	40702.8	1725.03	0.0153	0.7659	64.21
783.75	45225.9	365.399	40753.2	1709.57	0.0154	0.7655	64.66
785.4	45366.1	371.48	40872.4	1537.75	0.0155	0.7649	63.92
787.05	45505.2	377.012	41074	1427.76	0.0161	0.7646	62.97
788.7	45639.4	382.267	41276.5	1486.9	0.0164	0.7641	62.37
790.35	45771.5	387.346	41459.8	1470.42	0.0171	0.7638	61.22
792	45897.8	392.431	41694.3	1486.8	0.0178	0.7633	60.8
793.65	46019.5	398.042	41887.4	1490.31	0.0168	0.7626	60.66
795.3	46148.4	404.321	42068.5	1506.32	0.0163	0.762	62.02
796.95	46280.8	411.322	42133.2	1414.79	0.0168	0.7609	62.3
798.6	46409.5	418.458	42281.9	1361.35	0.019	0.7598	61.77
800.25	46524.1	427.064	42480.9	1365.9	0.0175	0.7589	61.32
801.9	46648.2	436.977	42668.9	1408.96	0.0169	0.758	61.36
803.55	46777.2	448.656	42825.8	1334.51	0.0157	0.757	62.01
805.2	46915.8	461.344	42933	1345.16	0.0158	0.7559	61.6
806.85	47053.8	475.495	43106	1406.18	0.0153	0.7549	59.74
808.5	47196.5	490.076	43376.4	1465.04	0.016	0.7541	60.7
810.15	47333.3	506.934	43462.5	1508.26	0.0147	0.7535	59.46
811.8	47482.6	525.339	43698.1	1580.16	0.0143	0.7527	60.42
813.45	47635.9	544.719	43786.5	1645.52	0.0144	0.752	59.23
815.1	47788	566.414	44024.4	1680.62	0.0135	0.7511	59.52
816.75	47950.9	591.726	44164.8	1738.92	0.012	0.75	59.71
818.4	48133.5	619.15	44315.7	1818.08	0.0115	0.7491	61.96
820.05	48324.3	645.124	44317.5	1778.46	0.0122	0.7487	61.65
821.7	48505.1	669.373	44489.4	1832.24	0.0128	0.7482	63.56
823.35	48677.6	693.974	44513.3	1854.87	0.0121	0.7477	64.48
825	48860.5	717.151	44606.3	1792.12	0.012	0.7472	64.76
826.65	49043.9	736.827	44740.8	1815.26	0.0132	0.7466	65.62
828.3	49212	755.218	44835.5	1777.11	0.0125	0.7458	65.11
829.95	49389.3	771.104	45022.3	1684.88	0.0124	0.7448	64.73
831.6	49568.4	783.998	45194.7	1664.33	0.0124	0.7437	64.61
833.25	49747.8	793.37	45348.7	1644.46	0.0131	0.743	64.66
834.9	49917.3	799.761	45488.5	1590.92	0.0134	0.7426	65.01
836.55	50082.6	803.45	45604.8	1564.76	0.0134	0.7418	65.61
838.2	50249.2	804.485	45706.3	1387.66	0.013	0.7409	63.13
839.85	50420.9	803.315	45976.8	1470.26	0.0138	0.7402	62.09
841.5	50582	800.078	46167.6	1472.75	0.0138	0.7394	62.6
843.15	50744.1	794.935	46273.8	1520.5	0.0137	0.7386	64.97
844.8	50907.5	788.147	46269.8	1306.11	0.014	0.7378	63.45
846.45	51067.5	779.269	46481.8	1437.24	0.0137	0.7373	61.98
848.1	51231.1	768.465	46687.5	1538.06	0.0136	0.7368	61.76
849.75	51395.3	756.117	46835.7	1539.99	0.0139	0.736	62.14
851.4	51556.8	741.357	46954.4	1581.62	0.0132	0.7352	62.24
853.05	51726.4	725.924	47092.2	1589.04	0.0138	0.7344	63.45
854.7	51889	709.849	47161.8	1603.22	0.0141	0.7337	61.95
856.35	52048.1	693.639	47401	1617.76	0.0146	0.7331	61.72
858	52202.1	676.581	47570.8	1600.63	0.0143	0.7326	62.18
859.65	52359.2	660.149	47696	1824.36	0.0151	0.7319	60.32
861.3	52508	644.224	47995	1756.13	0.0159	0.7314	58.31
862.95	52649.9	628.323	48352.3	1754.72	0.016	0.7307	58.81
864.6	52790.7	611.047	48497	1704.97	0.0148	0.73	60.02
866.25	52942.9	594.672	48582.5	1778.8	0.0155	0.7292	59.92
867.9	53089.1	578.831	48772.7	1629.8	0.0157	0.7287	58.58
869.55	53233.7	563.884	49065.9	1688.46	0.016	0.7285	58.2
871.2	53375.4	550.338	49265.8	1692.96	0.0166	0.7282	59.27
872.85	53512	536.738	49360.8	1667.04	0.0153	0.7279	57.91
874.5	53659.7	525.609	49649.7	1581.24	0.0169	0.7277	58.03
876.15	53794	515.633	49817.1	1542.86	0.0169	0.7275	58.06
877.8	53927.8	507.166	49983.7	1560.4	0.0177	0.727	59.41
879.45	54056.2	499.702	50053.3	1584.74	0.0176	0.7268	59.8
881.1	54185.5	492.678	50192.3	1627.74	0.016	0.7263	59.6
882.75	54327.8	486.478	50380.2	1562.13	0.015	0.7258	58.86
884.4	54479.1	481.977	50600.1	1644.3	0.0164	0.7259	60.97
886.05	54617.6	478.372	50610.1	1673.27	0.0156	0.7258	60.35
887.7	54763	475.978	50818	1730.96	0.0156	0.7254	61.51
889.35	54908.8	474.951	50900.8	1725.79	0.0163	0.7247	60.51
891	55048.2	475.222	51137.1	1749.94	0.0149	0.724	60.81
892.65	55200.9	477.279	51283.4	1718.43	0.0144	0.7233	60.26
894.3	55359.6	481.485	51489.2	1778.87	0.0139	0.7227	60.16
895.95	55524	487.497	51667.4	1647.28	0.0151	0.7221	59.19
897.6	55674.9	495.392	51904	1661.78	0.0157	0.7218	59.87
899.25	55820.8	505.804	52017.9	1612.8	0.0151	0.7211	59.92
900.9	55971.9	518.44	52173.1	1642.92	0.015	0.7205	60.02
902.55	56124.2	533.65	52325.9	1574.51	0.0145	0.72	59.62
904.2	56282.2	550.792	52505.8	1549.59	0.0147	0.7193	60.58
905.85	56438.7	571.562	52591.8	1584.93	0.0135	0.7188	61.77
907.5	56609	594.198	52662.7	1676.74	0.0136	0.7179	60.41
909.15	56777.4	618.813	52899.6	1610.8	0.0135	0.7172	59.95
910.8	56947.9	643.174	53080.3	1598.62	0.0143	0.7171	60.48
912.45	57108.3	668.16	53192.7	1541.65	0.0144	0.717	60.18
914.1	57268.5	692.771	53354.3	1466.75	0.0146	0.7164	60.9
915.75	57426	716.532	53451.9	1523.42	0.0149	0.7158	61.11
917.4	57581.1	739.104	53584.5	1322.45	0.0151	0.7152	59.69
919.05	57733.4	759.776	53811	1329.25	0.016	0.715	61.73
920.7	57877.5	780.116	53827.6	1269.19	0.0158	0.7147	62.26
922.35	58023.5	798.861	53931.7	1256.68	0.0168	0.7137	62.68
924	58160.8	817.403	54041.9	1338.35	0.0168	0.7136	61.34
925.65	58298.2	837.465	54252.6	1393.36	0.0154	0.7138	60.24
927.3	58448.5	856.755	54470.3	1315.77	0.0159	0.7141	61.29
928.95	58593.8	875.45	54544.8	1387.86	0.0162	0.714	62.18
930.6	58736.4	894.975	54630.9	1362.23	0.0152	0.7132	61.45
932.25	58888.5	912.933	54827.5	1371.75	0.0162	0.7131	62.7
933.9	59031.4	929.879	54894.5	1394.18	0.0167	0.7131	62
935.55	59170.2	945.608	55079.1	1382.5	0.0174	0.7127	60.39
937.2	59303.3	960.729	55345.6	1405.81	0.0175	0.713	60.19
938.85	59435.3	975.803	55522	1305.17	0.017	0.7128	61.04
940.5	59571.1	989.799	55618.9	1280.14	0.018	0.7122	62.17
942.15	59700.1	1004	55699.1	1323.61	0.0174	0.7113	62.56
943.8	59833.3	1018.57	55825.8	1330.52	0.0167	0.7102	62.04
945.45	59972.1	1032.89	56017.5	1387.69	0.017	0.7095	61.6
947.1	60109	1047.43	56205.1	1407.29	0.0167	0.7093	61.29
948.75	60248.1	1061.7	56384	1525.11	0.0171	0.7088	60.32
950.4	60384.1	1076.47	56624.1	1566.81	0.0166	0.7082	59.59
952.05	60524.8	1091.36	56849.6	1518.61	0.0165	0.7075	59.22
953.7	60666.5	1106.58	57045.5	1552.78	0.016	0.7065	59.36
955.35	60812.4	1120.68	57201.7	1584.28	0.0173	0.7055	60.52
957	60947.8	1135.48	57288.1	1594.3	0.0162	0.7045	60.71
958.65	61092.2	1150.48	57438.5	1591.59	0.0157	0.7034	60.7
960.3	61241.3	1165.29	57599.6	1538.62	0.0157	0.7028	60.33
961.95	61391.2	1179.64	57777	1590.48	0.0159	0.7024	61.07
963.6	61539.4	1193.3	57877.9	1608.08	0.0163	0.7017	61.6
965.25	61683.5	1206.52	57994.6	1555.07	0.0163	0.701	61.83
966.9	61827.6	1219.61	58124	1585.63	0.0158	0.7003	62.53
968.55	61977.1	1231.91	58224.2	1632.68	0.0159	0.6997	59.98
970.2	62125.2	1243.36	58530.8	1653.83	0.0161	0.6989	61.16
971.85	62271.8	1254.24	58607.1	1766.52	0.0157	0.6983	61.34
973.5	62422.1	1264.52	58742.5	1674.23	0.0152	0.6978	59.13
975.15	62577.3	1273.69	59030.8	1699.92	0.0154	0.697	60.72
976.8	62730.7	1281.86	59080.1	1690.74	0.0153	0.6963	61.23
978.45	62885.2	1289.27	59191.9	1742.55	0.0145	0.6957	62.65
980.1	63049	1295.57	59248.1	1778.21	0.0142	0.6948	63.23
981.75	63216.7	1300.67	59352.7	1766.09	0.0142	0.6941	61.76
983.4	63383.7	1304.63	59573.5	1846.09	0.0143	0.6935	64.21
985.05	63550.4	1307.51	59573	1914	0.0135	0.6926	63.62
986.7	63727.1	1309.3	59739.2	1975.75	0.0136	0.6916	62.34
988.35	63902	1310.18	59954	1974.25	0.0133	0.6905	62.3
990	64082.2	1310.26	60099.1	1969.76	0.0125	0.6894	62.11
991.65	64274.4	1310.07	60254.7	1977.9	0.0128	0.6884	61.01
993.3	64461.3	1309.94	60461	1964.03	0.0134	0.6874	61.03
994.95	64640.7	1310.13	60606.2	1960.67	0.0151	0.6863	60.16
996.6	64799.9	1310.51	60809.1	1930.56	0.0143	0.6852	59.42
998.25	64968.3	1311.34	60994.5	1984.75	0.0147	0.6842	59.84
999.9	65132.7	1312.66	61120.4	1976.88	0.0131	0.6831	58.35
1001.55	65316.8	1314.58	61367.4	1949.09	0.0127	0.6822	57.63
1003.2	65506.9	1317.12	61564	1980.64	0.0128	0.681	57.84
1004.85	65696.2	1320.28	61701.8	2007.4	0.0127	0.6798	58.37
1006.5	65887.5	1324.05	61820.4	2094.18	0.0123	0.6788	59.11
1008.15	66084.7	1328.2	61929.7	2053.57	0.0131	0.6779	57.55
1009.8	66270	1332.95	62177.1	2118.68	0.0124	0.677	58.38
1011.45	66467.3	1338.26	62278.4	2166.08	0.0122	0.6762	57.9
1013.1	66668	1344.14	62464	2156.76	0.0123	0.6751	57.75
1014.75	66867.4	1350.64	62634.3	2159.76	0.012	0.6741	57.01
1016.4	67071	1357.58	62840	2265.54	0.012	0.6733	57.34
1018.05	67274.6	1365.02	62983.7	2302.86	0.0119	0.6725	57.3
1019.7	67481.4	1372.54	63157.3	2253.41	0.0125	0.6721	55.72
1021.35	67678.5	1379.72	63434.7	2354.01	0.0129	0.6714	56.25
1023	67869.3	1386.32	63570.1	2312.32	0.0129	0.6706	55.67
1024.65	68060.1	1392.03	63792.5	2379.38	0.0129	0.6698	56.51
1026.3	68251.7	1396.66	63912.7	2482.15	0.0126	0.6693	56.25
1027.95	68448	1399.95	64117.6	2422.03	0.0127	0.6685	56.01
1029.6	68642.9	1401.9	64331.9	2334.58	0.013	0.6676	55.7
1031.25	68833.6	1402.65	64544.5	2153.78	0.0133	0.6668	56.05
1032.9	69019.5	1402.44	64696.3	2230.48	0.0138	0.6661	56.48
1034.55	69199.7	1401.35	64833	2215.2	0.0135	0.6653	59.89
1036.2	69383.9	1399.45	64776.2	2233.58	0.0125	0.6646	59.26
1037.85	69582.6	1397.89	64990	2400.72	0.0145	0.6633	59.23
1039.5	69753.6	1396.49	65167.5	2390.16	0.0146	0.6624	56.96
1041.15	69924.6	1395.27	65532.4	2390.79	0.0136	0.6615	55.89
1042.8	70108.1	1394.22	65809.7	2466.6	0.013	0.6605	56.06
1044.45	70300.4	1393.3	65997.4	2352.94	0.0131	0.6596	55.33
1046.1	70492	1392.45	66248.1	2461.56	0.0134	0.6586	54.63
1047.75	70679.4	1391.72	66505.8	2461.34	0.0144	0.6577	55.65
1049.4	70853.4	1391.02	66630.7	2376.04	0.0152	0.6569	53.52
1051.05	71018.3	1390.22	67008.8	2303.31	0.015	0.6561	53
1052.7	71185.7	1389.46	67259.6	2258.77	0.0152	0.6553	52.94
1054.35	71351.1	1388.86	67475.9	2070.32	0.0159	0.6545	51.86
1056	71509.4	1388.42	67760	2016.06	0.0162	0.6538	51.6
1057.65	71665.4	1388.16	67974.6	1972.48	0.0172	0.6531	51.02
1059.3	71812	1387.98	68214.1	1982.42	0.0178	0.6524	51.61
1060.95	71954.1	1387.85	68368.7	1967.74	0.0183	0.6516	51.93
1062.6	72092.2	1387.71	68543.3	1945.05	0.0168	0.651	51.92
1064.25	72243.2	1387.64	68741	1918.4	0.0164	0.6503	51.39
1065.9	72397.7	1387.72	68972.2	1912.4	0.0169	0.6497	50.78
1067.55	72548.1	1387.98	69200.4	1995.96	0.0161	0.6489	50.57
1069.2	72705.8	1388.53	69406.4	2032.04	0.0165	0.6483	51.15
1070.85	72859.8	1389.35	69563.8	1926.62	0.0163	0.6477	52.12
1072.5	73016.6	1390.35	69675.2	1954.89	0.0161	0.6469	52.4
1074.15	73174.7	1391.45	69831.1	2056.89	0.0157	0.6463	52.37
1075.8	73336.8	1392.67	70013.5	2100.43	0.0153	0.6456	51.01
1077.45	73503.8	1394.14	70308.5	2169.67	0.0145	0.6448	53.13
1079.1	73680.3	1395.95	70345.7	2221.14	0.0144	0.6443	54.71
1080.75	73857.7	1397.92	70422.5	2070.2	0.0149	0.6438	53.53
1082.4	74029.8	1399.86	70698.9	1980.24	0.0154	0.6433	52.76
1084.05	74196.3	1401.62	70924.4	1974.5	0.016	0.6426	53.05
1085.7	74357.1	1403.18	71075.4	1960.1	0.0161	0.6418	54.07
1087.35	74516.5	1404.58	71180.5	1924.66	0.0162	0.6409	54.89
1089	74675.4	1405.8	71298	1876.75	0.0162	0.6403	56.62
1090.65	74834.8	1406.79	71355.2	1821.79	0.0166	0.6398	56.13
1092.3	74990.4	1407.55	71546.2	1752.81	0.0168	0.6395	56.61
1093.95	75143.9	1408.14	71674.2	1735.1	0.0183	0.639	57.84
1095.6	75285.3	1408.67	71753.3	1692.8	0.018	0.6384	58.19
1097.25	75428.7	1409.25	71881	1667.97	0.0183	0.6378	59.4
1098.9	75569.8	1409.93	71959.4	1664.05	0.0185	0.6374	60.3
1100.55	75709.8	1410.7	72051.3	1716.06	0.0199	0.6368	61.22
1102.2	75839.8	1411.63	72148.5	1722.94	0.0191	0.6364	59.79
1103.85	75975.4	1412.81	72388.6	1749.35	0.0178	0.6359	59.35
1105.5	76120.9	1414.27	72568.2	1785.12	0.0173	0.6355	59.92
1107.15	76270.8	1416.1	72693.3	1808.45	0.0166	0.6349	60.38
1108.8	76427.4	1418.3	72824.2	1864.8	0.0168	0.6344	60.32
1110.45	76582	1420.99	72986.8	1924.49	0.0161	0.6336	61.03
1112.1	76743.9	1424.15	73105.5	1974.65	0.0157	0.6326	60.53
1113.75	76909.6	1427.82	73303.3	2027.64	0.0148	0.6321	60.05
1115.4	77086.2	1431.67	73502.9	2089.52	0.0147	0.6313	59
1117.05	77264.5	1435.29	73755.8	1992.95	0.0158	0.631	57.3
1118.7	77429.8	1438.82	74044.2	1943.55	0.0153	0.6302	57.11
1120.35	77601.2	1442.01	74226.5	1937.89	0.0157	0.6297	57.85
1122	77768.5	1444.81	74345	1913.38	0.0162	0.6288	58.14
1123.65	77930.9	1447.26	74491.7	1907.68	0.0158	0.6278	59.29
1125.3	78097.7	1449.3	74586.7	1887.07	0.0162	0.6269	58.73
1126.95	78260.2	1450.91	74784.7	1863.88	0.0171	0.6265	58.87
1128.6	78414.5	1452.16	74935.1	1861.35	0.0174	0.6264	59.27
1130.25	78566	1453.09	75067.4	1804.53	0.0177	0.626	59.29
1131.9	78715	1453.68	75215.4	1830.95	0.0167	0.6255	61.12
1133.55	78872.5	1453.9	75261.4	1843.05	0.0166	0.625	60.91
1135.2	79032	1453.83	75418.4	1835.01	0.0173	0.6239	61.61
1136.85	79184.6	1453.53	75528.1	1816.77	0.018	0.6236	60.96
1138.5	79331.8	1453.08	75704.8	1769.43	0.0184	0.6235	62
1140.15	79475.7	1452.5	75784	1789.45	0.0181	0.623	62.37
1141.8	79622.3	1451.88	75900.6	1810.83	0.0191	0.6222	59.6
1143.45	79761.4	1451.18	76200	1822.74	0.0198	0.6222	58.82
1145.1	79895.2	1450.34	76399.5	1818.71	0.0201	0.6218	57.31
1146.75	80027.5	1449.29	76647.6	1830.68	0.0195	0.6213	57.57
1148.4	80163.6	1448.02	76797.3	1854.47	0.0193	0.6208	56.37
1150.05	80301.7	1446.67	77049.8	1793.17	0.0203	0.62	55.72
1151.7	80432.7	1445.22	77275.1	1794.45	0.0211	0.6193	54.39
1153.35	80559.2	1443.49	77530.3	1770.96	0.0201	0.619	54.05
1155	80691.6	1441.75	77722.4	1764.22	0.0214	0.6186	55.52
1156.65	80816.1	1439.74	77798.5	1760.25	0.0204	0.6177	54.5
1158.3	80946.8	1437.57	78030.4	1744.42	0.0203	0.617	55.11
1159.95	81078.6	1435.44	78161.5	1715.71	0.0216	0.6162	55.55
1161.6	81202.6	1433.06	78299.5	1699.35	0.0204	0.6156	54.93
1163.25	81333.9	1430.68	78491.2	1692.65	0.021	0.615	55.14
1164.9	81461.6	1428.22	78632.8	1727.67	0.0208	0.6142	56.23
1166.55	81590.9	1425.83	78726	1732.67	0.0212	0.6133	56.23
1168.2	81717.6	1423.44	78888	1710.8	0.0208	0.6125	56.5
1169.85	81847.1	1421.13	79036	1678.93	0.0201	0.6117	55.12
1171.5	81981.3	1419.04	79268.2	1661.18	0.0198	0.6112	54.53
1173.15	82117.4	1417.4	79446.9	1665.34	0.021	0.6104	55.29
1174.8	82246.1	1416.07	79555.4	1639.13	0.0204	0.61	55.77
1176.45	82378.7	1415.17	79675.5	1616.98	0.0212	0.6094	56.22
1178.1	82506.7	1414.62	79793.2	1597.5	0.0224	0.6087	55.42
1179.75	82627.8	1414.31	79968.5	1599.42	0.0219	0.6081	56.34
1181.4	82751.9	1414.21	80059.5	1595.69	0.0208	0.6077	56.99
1183.05	82882.3	1414.29	80165	1586.27	0.021	0.6071	57.37
1184.7	83011.8	1414.5	80286.3	1550.6	0.0221	0.6067	56.83
1186.35	83134.8	1414.79	80446.2	1547.64	0.0228	0.606	56.04
1188	83254.1	1415.13	80614.6	1529.98	0.0221	0.6057	56.85
1189.65	83377.3	1415.48	80708.3	1530.83	0.0226	0.6054	58.47
1191.3	83497.9	1415.83	80759.5	1534.56	0.0225	0.6052	57.18
1192.95	83619.2	1416.17	80950	1538.43	0.0219	0.6049	58.24
1194.6	83743.8	1416.48	81032	1524.15	0.0224	0.6044	58.49
1196.25	83865.9	1416.75	81150.1	1520.59	0.0234	0.6034	57.35
1197.9	83982.6	1416.98	81337.4	1525.24	0.0237	0.6029	58.57
1199.55	84098.1	1417.16	81410.2	1527.15	0.0227	0.6026	58.75
1201.2	84219	1417.3	81532.2	1520.92	0.0219	0.6019	58.64
1202.85	84344.5	1417.38	81667.9	1521.51	0.0215	0.6012	58.17
1204.5	84472.3	1417.41	81822.1	1529.35	0.0229	0.6004	58.97
1206.15	84592.1	1417.32	81920	1532.54	0.021	0.5998	58.79
1207.8	84722.9	1417.16	82067	1521.13	0.0223	0.599	58.11
1209.45	84846.7	1416.86	82233.8	1530.9	0.0214	0.5982	58.13
1211.1	84975.7	1416.39	82368.8	1514.58	0.0203	0.5978	57.87
1212.75	85111.8	1415.79	82510.7	1525.49	0.0211	0.5973	59.61
1214.4	85242.8	1415	82558	1533.09	0.0208	0.5969	58.93
1216.05	85375.6	1414.07	82712.4	1555.97	0.0216	0.5964	60.01
1217.7	85503.7	1412.84	82791.8	1568.23	0.0201	0.5959	61.4
1219.35	85641.4	1411.37	82859.2	1550.65	0.02	0.5952	60.21
1221	85780.2	1409.65	83046.2	1547.13	0.0198	0.5945	60.2
1222.65	85920.6	1407.87	83171.8	1564.2	0.0212	0.594	60.56
1224.3	86051.6	1405.73	83278.5	1578.79	0.0198	0.5934	62.33
1225.95	86192.2	1403.38	83325.9	1577.2	0.0197	0.5928	62.11
1227.6	86333.3	1400.86	83459.9	1582.77	0.0195	0.5922	61.72
1229.25	86475.8	1398.15	83601	1607.88	0.0191	0.592	62.97
1230.9	86621.8	1395.4	83669.8	1606.82	0.0193	0.5918	62.64
1232.55	86765.9	1392.68	83809	1594.99	0.0198	0.5911	62.48
1234.2	86906.6	1389.77	83938.1	1606.63	0.0189	0.5904	63.85
1235.85	87054.2	1386.88	84000.3	1636.25	0.019	0.5897	64.03
1237.5	87201.2	1383.89	84112.1	1663.97	0.018	0.5893	63.52
1239.15	87356.4	1381.14	84258.3	1686.36	0.0186	0.5889	62.83
1240.8	87506.9	1378.52	84417.9	1671.82	0.0186	0.5887	62.67
1242.45	87657.8	1375.95	84549	1747.03	0.0179	0.5876	64.2
